,name,initPlayer1Grid,target1Grid,target2Grid,noiseNumber,reactionTime,trajectory,aimAction,noisePoint,goal
0,p13,"(10, 7)","(3, 5)","(3, 9)",0,"[3947, 129, 214, 207, 206, 191, 256, 3602, 214]","[(10, 7), (9, 7), (8, 7), (7, 7), (6, 7), (5, 7), (4, 7), (3, 7), (3, 8), (3, 9)]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1)]",[],"[0, 0, 0, 0, 0, 0, 0, 2, 2]"
1,p13,"(7, 7)","(0, 4)","(0, 10)",0,"[1816, 227, 225, 1010, 247, 206, 213, 197, 236, 207]","[(7, 7), (7, 8), (7, 9), (7, 10), (6, 10), (5, 10), (4, 10), (3, 10), (2, 10), (1, 10), (0, 10)]","[(0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]",[],"[2, 2, 2, 0, 0, 0, 0, 0, 0, 0]"
2,p13,"(12, 7)","(6, 3)","(6, 11)",0,"[1170, 232, 262, 343, 2068, 226, 931, 503, 584, 898, 428, 360]","[(12, 7), (11, 7), (10, 7), (9, 7), (8, 7), (7, 7), (6, 7), (6, 8), (6, 9), (7, 9), (6, 9), (6, 10), (6, 11)]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (1, 0), (-1, 0), (0, 1), (0, 1)]",[],"[0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 2, 2]"
3,p13,"(4, 7)","(9, 4)","(9, 10)",0,"[1881, 469, 242, 244, 523, 980, 239, 467]","[(4, 7), (5, 7), (6, 7), (7, 7), (8, 7), (9, 7), (9, 8), (9, 9), (9, 10)]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1)]",[],"[0, 0, 0, 0, 0, 2, 2, 2]"
4,p13,"(7, 2)","(3, 7)","(11, 7)",0,"[1307, 203, 238, 219, 262, 2227, 229, 221, 221]","[(7, 2), (7, 3), (7, 4), (7, 5), (7, 6), (7, 7), (8, 7), (9, 7), (10, 7), (11, 7)]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0)]",[],"[0, 0, 0, 0, 0, 2, 2, 2, 2]"
5,p13,"(7, 7)","(2, 5)","(2, 9)",0,"[1188, 249, 247, 235, 750, 797, 352]","[(7, 7), (6, 7), (5, 7), (4, 7), (3, 7), (2, 7), (2, 8), (2, 9)]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1)]",[],"[0, 0, 0, 0, 0, 2, 2]"
6,p13,"(14, 7)","(8, 5)","(8, 9)",0,"[1272, 265, 238, 245, 218, 198, 564, 257]","[(14, 7), (13, 7), (12, 7), (11, 7), (10, 7), (9, 7), (8, 7), (8, 8), (8, 9)]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1)]",[],"[0, 0, 0, 0, 0, 0, 2, 2]"
7,p13,"(7, 11)","(5, 6)","(9, 6)",0,"[1356, 224, 229, 221, 404, 719, 281]","[(7, 11), (7, 10), (7, 9), (7, 8), (7, 7), (7, 6), (8, 6), (9, 6)]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0)]",[],"[0, 0, 0, 0, 0, 2, 2]"
