,name,initPlayer1Grid,initPlayer2Grid,target1Grid,target2Grid,aimActionPlayer1,reactionTime,aimActionPlayer2,trajectoryPlayer1,trajectoryPlayer2,goalPlayer1,goalPlayer2
0,p13,"(11, 7)","(1, 7)","(6, 5)","(6, 9)","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1)]","[810280, 247, 413, 500, 1067, 1408, 470]","[(0, -1), (1, 0), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0)]","[(11, 7), (10, 7), (9, 7), (8, 7), (7, 7), (6, 7), (6, 6), (6, 5)]","[(1, 7), (1, 6), (2, 6), (2, 5), (3, 5), (4, 5), (5, 5), (6, 5)]","[0, 0, 0, 0, 0, 1, 1]","[1, 0, 1, 0, 0, 0, 0]"
1,p13,"(1, 7)","(13, 7)","(7, 4)","(7, 10)","[(-1, 0), (-1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1)]","[1254, 271, 963, 684, 402, 381, 788, 1239, 382, 1228, 348, 252, 246, 240, 411, 831]","[(0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (-1, 0), (0, -1), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)]","[(1, 7), (0, 7), (0, 7), (1, 7), (1, 8), (1, 9), (1, 10), (1, 11), (1, 10), (1, 9), (2, 9), (3, 9), (4, 9), (5, 9), (6, 9), (7, 9), (7, 10)]","[(13, 7), (13, 6), (12, 6), (11, 6), (10, 6), (9, 6), (8, 6), (8, 5), (7, 5), (7, 4), (7, 4), (7, 4), (7, 4), (7, 4), (7, 4), (7, 4), (7, 4)]","[0, 0, 0, 2, 2, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2]","[1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
2,p13,"(0, 7)","(14, 7)","(7, 3)","(7, 11)","[(0, 1), (0, 1), (0, 1), (0, 1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1)]","[572, 341, 255, 340, 848, 231, 224, 229, 235, 251, 236, 297, 376, 535, 280, 265, 245, 196, 220, 245, 723]","[(-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (-1, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)]","[(0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 10), (0, 9), (0, 8), (0, 7), (0, 6), (0, 5), (0, 4), (0, 3), (0, 2), (1, 2), (2, 2), (3, 2), (4, 2), (5, 2), (6, 2), (7, 2), (7, 3)]","[(14, 7), (13, 7), (12, 7), (12, 8), (12, 9), (12, 10), (11, 10), (10, 10), (9, 10), (8, 10), (8, 11), (7, 11), (7, 11), (7, 11), (7, 11), (7, 11), (7, 11), (7, 11), (7, 11), (7, 11), (7, 11), (7, 11)]","[2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 2, 2, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3,p13,"(14, 7)","(4, 7)","(9, 3)","(9, 11)","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1)]","[1006, 243, 235, 945, 235, 266, 265, 259, 258, 247, 424, 535, 139, 157, 272, 533, 609, 216, 221]","[(1, 0), (1, 0), (0, -1), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)]","[(14, 7), (14, 8), (14, 9), (14, 10), (14, 11), (14, 12), (14, 13), (14, 14), (14, 14), (14, 14), (14, 14), (14, 14), (13, 14), (12, 14), (11, 14), (10, 14), (9, 14), (9, 13), (9, 12), (9, 11)]","[(4, 7), (5, 7), (6, 7), (6, 6), (7, 6), (8, 6), (9, 6), (9, 5), (9, 4), (9, 3), (9, 3), (9, 3), (9, 3), (9, 3), (9, 3), (9, 3), (9, 3), (9, 3), (9, 3), (9, 3)]","[2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4,p13,"(11, 7)","(1, 7)","(6, 4)","(6, 10)","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1)]","[1118, 499, 529, 493, 413, 963, 437, 505]","[(1, 0), (0, 1), (1, 0), (1, 0), (0, 1), (0, 1), (1, 0), (1, 0)]","[(11, 7), (10, 7), (9, 7), (8, 7), (7, 7), (6, 7), (6, 8), (6, 9), (6, 10)]","[(1, 7), (2, 7), (2, 8), (3, 8), (4, 8), (4, 9), (4, 10), (5, 10), (6, 10)]","[0, 0, 0, 0, 0, 2, 2, 2]","[0, 2, 0, 0, 2, 2, 0, 0]"
5,p13,"(7, 4)","(7, 14)","(4, 9)","(10, 9)","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (0, -1)]","[676, 417, 273, 246, 744, 322, 947, 335, 780, 737]","[(-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, 0), (0, 0)]","[(7, 4), (7, 5), (7, 6), (7, 7), (7, 8), (7, 9), (7, 10), (6, 10), (5, 10), (4, 10), (4, 9)]","[(7, 14), (6, 14), (5, 14), (4, 14), (4, 13), (4, 12), (4, 11), (4, 10), (4, 9), (4, 9), (4, 9)]","[0, 0, 0, 0, 0, 0, 1, 1, 1, 0]","[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
6,p13,"(2, 7)","(14, 7)","(8, 3)","(8, 11)","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1)]","[553, 304, 248, 300, 280, 715, 988, 259, 280, 420]","[(0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]","[(2, 7), (3, 7), (4, 7), (5, 7), (6, 7), (7, 7), (8, 7), (8, 6), (8, 5), (8, 4), (8, 3)]","[(14, 7), (14, 6), (14, 5), (14, 4), (14, 3), (13, 3), (12, 3), (11, 3), (10, 3), (9, 3), (8, 3)]","[0, 0, 0, 0, 0, 0, 1, 1, 1, 1]","[1, 1, 1, 1, 0, 0, 0, 0, 0, 0]"
7,p13,"(7, 14)","(7, 0)","(5, 7)","(9, 7)","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (0, 1)]","[1389, 285, 555, 277, 252, 544, 291, 354, 382, 484, 345, 426, 262, 496, 1054, 669, 308, 559]","[(1, 0), (0, 1), (0, 1), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)]","[(7, 14), (7, 14), (7, 14), (7, 14), (7, 14), (7, 14), (7, 14), (7, 14), (7, 13), (7, 12), (7, 11), (7, 10), (7, 9), (7, 8), (7, 7), (7, 6), (8, 6), (9, 6), (9, 7)]","[(7, 0), (8, 0), (8, 1), (8, 2), (9, 2), (9, 3), (9, 4), (9, 5), (9, 6), (9, 7), (9, 7), (9, 7), (9, 7), (9, 7), (9, 7), (9, 7), (9, 7), (9, 7), (9, 7)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0]","[2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
