,name,initPlayer1Grid,initPlayer2Grid,target1Grid,target2Grid,aimActionPlayer1,reactionTime,aimActionPlayer2,trajectoryPlayer1,trajectoryPlayer2,goalPlayer1,goalPlayer2
0,p11,"(7, 0)","(7, 14)","(3, 7)","(11, 7)","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1)]","[930260, 275, 297, 278, 340, 281, 1136, 284, 304, 272, 1421]","[(0, -1), (1, 0), (1, 0), (0, -1), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]","[(7, 0), (7, 1), (7, 2), (7, 3), (7, 4), (7, 5), (7, 6), (8, 6), (9, 6), (10, 6), (11, 6), (11, 7)]","[(7, 14), (7, 13), (8, 13), (9, 13), (9, 12), (10, 12), (11, 12), (11, 11), (11, 10), (11, 9), (11, 8), (11, 7)]","[0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 0]","[0, 2, 2, 0, 2, 2, 0, 0, 0, 0, 0]"
1,p11,"(7, 12)","(7, 0)","(5, 6)","(9, 6)","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (1, 0), (1, 0), (1, 0), (0, 1)]","[1395, 223, 253, 495, 508, 2055, 369, 278, 340, 232, 353, 286, 304, 313, 1502, 1992, 250, 378, 1123]","[(0, 1), (0, 1), (1, 0), (0, 1), (1, 0), (0, 1), (0, 1), (0, 1), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)]","[(7, 12), (7, 13), (7, 14), (7, 14), (7, 14), (7, 14), (7, 13), (7, 12), (7, 11), (7, 10), (7, 9), (7, 8), (7, 7), (7, 6), (7, 5), (6, 5), (7, 5), (8, 5), (9, 5), (9, 6)]","[(7, 0), (7, 1), (7, 2), (8, 2), (8, 3), (9, 3), (9, 4), (9, 5), (9, 6), (9, 6), (9, 6), (9, 6), (9, 6), (9, 6), (9, 6), (9, 6), (9, 6), (9, 6), (9, 6), (9, 6)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 0]","[0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2,p11,"(7, 2)","(7, 12)","(4, 7)","(10, 7)","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1)]","[1329, 287, 314, 350, 275, 311, 370, 308, 1418, 281, 248, 709, 292, 321]","[(1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)]","[(7, 2), (7, 3), (7, 4), (7, 5), (7, 6), (7, 7), (7, 8), (7, 9), (7, 10), (6, 10), (5, 10), (4, 10), (4, 9), (4, 8), (4, 7)]","[(7, 12), (8, 12), (9, 12), (10, 12), (10, 11), (10, 10), (10, 9), (10, 8), (10, 7), (10, 7), (10, 7), (10, 7), (10, 7), (10, 7), (10, 7)]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0]","[2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3,p11,"(7, 14)","(7, 2)","(3, 8)","(11, 8)","[(0, 1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (0, -1), (-1, 0), (-1, 0)]","[2099, 1644, 640, 1510, 817, 971, 1390, 953, 1965, 1979, 1597]","[(-1, 0), (0, 1), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (0, 1), (-1, 0), (0, 0)]","[(7, 14), (7, 14), (7, 13), (7, 12), (7, 11), (7, 10), (7, 9), (6, 9), (5, 9), (5, 8), (4, 8), (3, 8)]","[(7, 2), (6, 2), (6, 3), (5, 3), (5, 4), (5, 5), (5, 6), (5, 7), (4, 7), (4, 8), (3, 8), (3, 8)]","[0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1]","[1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0]"
4,p11,"(4, 7)","(14, 7)","(9, 3)","(9, 11)","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1)]","[3192, 664, 643, 610, 1943, 1345, 231, 246, 266]","[(-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0)]","[(4, 7), (5, 7), (6, 7), (7, 7), (8, 7), (9, 7), (9, 8), (9, 9), (9, 10), (9, 11)]","[(14, 7), (13, 7), (12, 7), (11, 7), (11, 6), (11, 5), (11, 4), (11, 3), (10, 3), (9, 3)]","[0, 0, 0, 0, 0, 2, 2, 2, 2]","[0, 0, 0, 1, 1, 1, 1, 0, 0]"
5,p11,"(7, 14)","(7, 0)","(5, 7)","(9, 7)","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0)]","[2026, 245, 287, 291, 288, 270, 748, 1293, 992]","[(1, 0), (0, 1), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]","[(7, 14), (7, 13), (7, 12), (7, 11), (7, 10), (7, 9), (7, 8), (7, 7), (8, 7), (9, 7)]","[(7, 0), (8, 0), (8, 1), (9, 1), (9, 2), (9, 3), (9, 4), (9, 5), (9, 6), (9, 7)]","[0, 0, 0, 0, 0, 0, 0, 2, 2]","[2, 0, 2, 0, 0, 0, 0, 0, 0]"
6,p11,"(7, 14)","(7, 2)","(4, 8)","(10, 8)","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0)]","[1476, 1008, 1051, 1084, 1067, 1022, 1207, 748, 739]","[(-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]","[(7, 14), (7, 13), (7, 12), (7, 11), (7, 10), (7, 9), (7, 8), (6, 8), (5, 8), (4, 8)]","[(7, 2), (6, 2), (5, 2), (4, 2), (4, 3), (4, 4), (4, 5), (4, 6), (4, 7), (4, 8)]","[0, 0, 0, 0, 0, 0, 1, 1, 1]","[1, 1, 1, 0, 0, 0, 0, 0, 0]"
7,p11,"(14, 7)","(0, 7)","(7, 4)","(7, 10)","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1)]","[2346, 857, 787, 765, 759, 783, 654, 1814, 509, 513]","[(0, 1), (0, 1), (1, 0), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]","[(14, 7), (13, 7), (12, 7), (11, 7), (10, 7), (9, 7), (8, 7), (7, 7), (7, 8), (7, 9), (7, 10)]","[(0, 7), (0, 8), (0, 9), (1, 9), (1, 10), (2, 10), (3, 10), (4, 10), (5, 10), (6, 10), (7, 10)]","[0, 0, 0, 0, 0, 0, 0, 2, 2, 2]","[2, 2, 0, 2, 0, 0, 0, 0, 0, 0]"
