,name,initPlayer1Grid,target1Grid,target2Grid,noiseNumber,reactionTime,trajectory,aimAction,noisePoint,goal
0,p08,"(7, 5)","(4, 11)","(10, 11)",0,"[2394, 271, 250, 226, 1142, 421, 535, 1343, 381]","[(7, 5), (7, 6), (7, 7), (7, 8), (7, 9), (6, 9), (5, 9), (4, 9), (4, 10), (4, 11)]","[(0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1)]",[],"[0, 0, 0, 0, 1, 1, 1, 0, 0]"
1,p08,"(7, 13)","(3, 7)","(11, 7)",0,"[2010, 273, 229, 221, 185, 207, 1776, 279, 245, 230]","[(7, 13), (7, 12), (7, 11), (7, 10), (7, 9), (7, 8), (7, 7), (8, 7), (9, 7), (10, 7), (11, 7)]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0)]",[],"[0, 0, 0, 0, 0, 0, 2, 2, 2, 2]"
2,p08,"(7, 5)","(5, 0)","(9, 0)",0,"[2316, 413, 324, 562, 2836, 1956, 489]","[(7, 5), (7, 4), (7, 3), (7, 2), (7, 1), (7, 0), (6, 0), (5, 0)]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0)]",[],"[0, 0, 0, 0, 0, 1, 1]"
3,p08,"(7, 8)","(4, 1)","(10, 1)",0,"[2843, 271, 233, 211, 207, 1107, 344, 694, 1211, 544]","[(7, 8), (7, 7), (7, 6), (7, 5), (7, 4), (7, 3), (6, 3), (5, 3), (4, 3), (4, 2), (4, 1)]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1)]",[],"[0, 0, 0, 0, 0, 1, 1, 1, 0, 0]"
4,p08,"(7, 7)","(1, 5)","(1, 9)",0,"[2785, 241, 261, 257, 203, 210, 1303, 767]","[(7, 7), (6, 7), (5, 7), (4, 7), (3, 7), (2, 7), (1, 7), (1, 6), (1, 5)]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1)]",[],"[0, 0, 0, 0, 0, 0, 1, 1]"
5,p08,"(6, 7)","(11, 4)","(11, 10)",0,"[2695, 407, 368, 316, 1161, 2183, 311, 278]","[(6, 7), (7, 7), (8, 7), (9, 7), (10, 7), (11, 7), (11, 8), (11, 9), (11, 10)]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1)]",[],"[0, 0, 0, 0, 0, 2, 2, 2]"
6,p08,"(7, 0)","(5, 7)","(9, 7)",0,"[2324, 329, 270, 248, 211, 241, 241, 1804, 646]","[(7, 0), (7, 1), (7, 2), (7, 3), (7, 4), (7, 5), (7, 6), (7, 7), (6, 7), (5, 7)]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0)]",[],"[0, 0, 0, 0, 0, 0, 0, 1, 1]"
7,p08,"(8, 7)","(3, 3)","(3, 11)",0,"[3253, 322, 286, 814, 329, 1579, 366, 388, 695]","[(8, 7), (7, 7), (6, 7), (5, 7), (4, 7), (3, 7), (3, 6), (3, 5), (3, 4), (3, 3)]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1)]",[],"[0, 0, 0, 0, 0, 1, 1, 1, 1]"
