,name,initPlayer1Grid,target1Grid,target2Grid,noiseType,reactionTime,trajectory,aimAction,noisePoint,goal
0,p14,"(4, 7)","(9, 4)","(9, 10)",pushForward,"[1365, 236, 179, 524, 295, 290, 230, 578, 744]","[(4, 7), (4, 9), (4, 10), (4, 11), (5, 11), (6, 11), (7, 11), (8, 11), (9, 11), (9, 10)]","[(0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1)]",1,"[2, 2, 0, 0, 0, 0, 0, 0, 0]"
1,p14,"(7, 9)","(4, 14)","(10, 14)",pushForward,"[1070, 274, 225, 224, 236, 204, 500, 291]","[(7, 9), (7, 10), (7, 11), (7, 12), (7, 13), (7, 14), (7, 14), (9, 14), (10, 14)]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0)]",7,"[0, 0, 0, 0, 0, 0, 2, 2]"
2,p14,"(8, 7)","(3, 4)","(3, 10)",pullBack,"[1166, 199, 244, 262, 219, 663, 246, 283, 939, 204, 281, 1649]","[(8, 7), (7, 7), (6, 7), (5, 7), (4, 7), (3, 7), (3, 8), (3, 7), (3, 8), (3, 7), (3, 6), (3, 5), (3, 4)]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, 1), (0, -1), (0, -1), (0, -1), (0, -1)]",6,"[0, 0, 0, 0, 0, 1, 1, 2, 1, 1, 1, 1]"
3,p14,"(4, 7)","(9, 4)","(9, 10)",pullBack,"[1053, 306, 290, 382, 393, 452, 286, 425, 325, 415]","[(4, 7), (4, 6), (4, 7), (4, 8), (4, 9), (4, 10), (5, 10), (6, 10), (7, 10), (8, 10), (9, 10)]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]",1,"[2, 2, 2, 2, 2, 0, 0, 0, 0, 0]"
4,p14,"(7, 5)","(4, 10)","(10, 10)",pullBack,"[1045, 248, 383, 298, 337, 598, 403, 310, 217, 344]","[(7, 5), (7, 6), (7, 7), (7, 8), (7, 9), (7, 10), (6, 10), (7, 10), (8, 10), (9, 10), (10, 10)]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]",6,"[0, 0, 0, 0, 0, 2, 2, 2, 2, 2]"
5,p14,"(8, 7)","(13, 4)","(13, 10)",pullBack,"[2641, 492, 425, 366, 342, 532, 305, 442, 333, 263]","[(8, 7), (8, 6), (8, 7), (8, 8), (8, 9), (8, 10), (9, 10), (10, 10), (11, 10), (12, 10), (13, 10)]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]",1,"[2, 2, 2, 2, 2, 0, 0, 0, 0, 0]"
6,p14,"(7, 2)","(4, 7)","(10, 7)",pushForward,"[3223, 254, 258, 287, 278, 257, 250, 242, 636, 275, 355, 303, 215, 225, 287, 231, 1146, 236, 248, 255, 222, 796, 649, 262, 646]","[(7, 2), (7, 3), (7, 4), (7, 5), (7, 6), (7, 7), (7, 8), (9, 8), (10, 8), (10, 9), (10, 10), (9, 10), (8, 10), (7, 10), (6, 10), (5, 10), (4, 10), (5, 10), (6, 10), (7, 10), (8, 10), (9, 10), (10, 10), (10, 9), (10, 8), (10, 7)]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1)]",7,"[0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 0, 0, 0]"
7,p14,"(7, 10)","(4, 5)","(10, 5)",pushForward,"[2829, 304, 559, 298, 290, 276, 447]","[(7, 10), (5, 10), (4, 10), (4, 9), (4, 8), (4, 7), (4, 6), (4, 5)]","[(-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]",1,"[1, 1, 0, 0, 0, 0, 0]"
