,name,initPlayer1Grid,initPlayer2Grid,target1Grid,target2Grid,aimActionPlayer1,reactionTime,aimActionPlayer2,trajectoryPlayer1,trajectoryPlayer2,goalPlayer1,goalPlayer2
0,p14,"(7, 14)","(7, 0)","(3, 7)","(11, 7)","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (0, 1), (1, 0), (0, 1), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1)]","[620576, 307, 248, 263, 180, 342, 665, 111, 124, 1062, 261, 1912, 358, 261, 174, 232, 670, 694, 277]","[(1, 0), (0, 1), (0, 1), (1, 0), (1, 0), (0, 1), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)]","[(7, 14), (7, 13), (7, 12), (7, 11), (7, 10), (7, 9), (8, 9), (8, 10), (9, 10), (9, 11), (9, 10), (9, 9), (8, 9), (7, 9), (6, 9), (5, 9), (4, 9), (3, 9), (3, 8), (3, 7)]","[(7, 0), (8, 0), (8, 1), (8, 2), (9, 2), (10, 2), (10, 3), (11, 3), (11, 4), (11, 5), (11, 6), (11, 7), (11, 7), (11, 7), (11, 7), (11, 7), (11, 7), (11, 7), (11, 7), (11, 7)]","[0, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0]","[2, 0, 0, 2, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,p14,"(0, 7)","(12, 7)","(6, 4)","(6, 10)","[(0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]","[1274, 263, 196, 371, 1019, 1517, 301, 229, 277]","[(0, 1), (-1, 0), (-1, 0), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]","[(0, 7), (0, 8), (0, 9), (0, 10), (1, 10), (2, 10), (3, 10), (4, 10), (5, 10), (6, 10)]","[(12, 7), (12, 8), (11, 8), (10, 8), (10, 9), (10, 10), (9, 10), (8, 10), (7, 10), (6, 10)]","[2, 2, 2, 0, 0, 0, 0, 0, 0]","[2, 0, 0, 2, 2, 0, 0, 0, 0]"
2,p14,"(7, 3)","(7, 13)","(4, 8)","(10, 8)","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1)]","[3010, 280, 283, 231, 298, 364, 464, 413, 808, 324, 524, 679, 306, 344]","[(1, 0), (1, 0), (0, -1), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)]","[(7, 3), (7, 4), (7, 5), (7, 6), (7, 7), (7, 8), (7, 9), (7, 10), (7, 11), (8, 11), (9, 11), (10, 11), (10, 10), (10, 9), (10, 8)]","[(7, 13), (8, 13), (9, 13), (9, 12), (10, 12), (10, 11), (10, 10), (10, 9), (10, 8), (10, 8), (10, 8), (10, 8), (10, 8), (10, 8), (10, 8)]","[0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0]","[2, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3,p14,"(7, 1)","(7, 11)","(3, 6)","(11, 6)","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1)]","[1281, 314, 280, 233, 232, 237, 233, 463, 1295, 296, 192, 770, 269]","[(-1, 0), (0, 1), (-1, 0), (0, -1), (0, -1), (0, -1), (-1, 0), (0, -1), (0, -1), (-1, 0), (0, -1), (0, 0), (0, 0)]","[(7, 1), (7, 2), (7, 3), (7, 4), (7, 5), (7, 6), (7, 7), (7, 8), (8, 8), (9, 8), (10, 8), (11, 8), (11, 7), (11, 6)]","[(7, 11), (6, 11), (6, 12), (5, 12), (5, 11), (5, 10), (5, 9), (4, 9), (4, 8), (4, 7), (3, 7), (3, 6), (3, 6), (3, 6)]","[0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 0, 0]","[1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]"
4,p14,"(14, 7)","(0, 7)","(7, 4)","(7, 10)","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1)]","[2387, 352, 263, 247, 903, 292, 274, 410, 433, 262]","[(0, -1), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0)]","[(14, 7), (13, 7), (12, 7), (11, 7), (10, 7), (9, 7), (8, 7), (7, 7), (7, 8), (7, 9), (7, 10)]","[(0, 7), (0, 6), (1, 6), (2, 6), (3, 6), (3, 5), (3, 4), (4, 4), (5, 4), (6, 4), (7, 4)]","[0, 0, 0, 0, 0, 0, 0, 2, 2, 2]","[1, 0, 0, 0, 1, 1, 0, 0, 0, 0]"
5,p14,"(7, 14)","(7, 2)","(3, 8)","(11, 8)","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (1, 0), (0, 1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0)]","[2868, 303, 241, 232, 187, 212, 703, 421, 318, 434, 275, 234, 249, 256, 481]","[(1, 0), (0, 1), (1, 0), (0, 1), (0, 1), (1, 0), (0, 1), (1, 0), (0, 1), (0, 1), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)]","[(7, 14), (6, 14), (5, 14), (4, 14), (3, 14), (2, 14), (1, 14), (2, 14), (2, 14), (2, 13), (2, 12), (2, 11), (2, 10), (2, 9), (2, 8), (3, 8)]","[(7, 2), (8, 2), (8, 3), (9, 3), (9, 4), (9, 5), (10, 5), (10, 6), (11, 6), (11, 7), (11, 8), (11, 8), (11, 8), (11, 8), (11, 8), (11, 8)]","[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0]"
6,p14,"(7, 1)","(7, 11)","(5, 6)","(9, 6)","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0)]","[2545, 382, 226, 268, 278, 352, 103]","[(-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]","[(7, 1), (7, 2), (7, 3), (7, 4), (7, 5), (7, 6), (8, 6), (9, 6)]","[(7, 11), (6, 11), (5, 11), (5, 10), (5, 9), (5, 8), (5, 7), (5, 6)]","[0, 0, 0, 0, 0, 2, 2]","[1, 1, 0, 0, 0, 0, 0]"
7,p14,"(0, 7)","(14, 7)","(7, 5)","(7, 9)","[(1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (1, 0), (0, 1), (1, 0), (1, 0)]","[3309, 280, 257, 289, 322, 600, 1155, 336, 1027]","[(-1, 0), (0, 1), (-1, 0), (-1, 0), (-1, 0), (0, 1), (-1, 0), (-1, 0), (-1, 0)]","[(0, 7), (1, 7), (2, 7), (3, 7), (4, 7), (4, 8), (5, 8), (5, 9), (6, 9), (7, 9)]","[(14, 7), (13, 7), (13, 8), (12, 8), (11, 8), (10, 8), (10, 9), (9, 9), (8, 9), (7, 9)]","[0, 0, 0, 0, 2, 0, 2, 0, 0]","[0, 2, 0, 0, 0, 2, 0, 0, 0]"
