,name,initPlayer1Grid,target1Grid,target2Grid,noiseType,reactionTime,trajectory,aimAction,noisePoint,goal
0,p16,"(7, 5)","(4, 12)","(10, 12)",pushForward,"[1711, 377, 478, 447, 359, 599, 488, 576, 977]","[(7, 5), (7, 6), (7, 7), (7, 8), (7, 9), (7, 10), (7, 11), (7, 12), (5, 12), (4, 12)]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0)]",8,"[0, 0, 0, 0, 0, 0, 0, 1, 1]"
1,p16,"(12, 7)","(5, 4)","(5, 10)",pushForward,"[1561, 487, 494, 434, 410, 631, 502, 865, 1151]","[(12, 7), (11, 7), (10, 7), (9, 7), (8, 7), (7, 7), (6, 7), (5, 7), (5, 9), (5, 10)]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1)]",8,"[0, 0, 0, 0, 0, 0, 0, 2, 2]"
2,p16,"(2, 7)","(9, 4)","(9, 10)",pushForward,"[1440, 577, 466, 686, 556, 549, 870, 2311, 611]","[(2, 7), (3, 7), (4, 7), (5, 7), (6, 7), (7, 7), (8, 7), (9, 7), (9, 5), (9, 4)]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1)]",8,"[0, 0, 0, 0, 0, 0, 0, 1, 1]"
3,p16,"(7, 11)","(4, 4)","(10, 4)",pushForward,"[3275, 414, 424, 433, 428, 454, 909, 934, 817]","[(7, 11), (7, 10), (7, 9), (7, 8), (7, 7), (7, 6), (7, 5), (7, 4), (5, 4), (4, 4)]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0)]",8,"[0, 0, 0, 0, 0, 0, 0, 1, 1]"
4,p16,"(7, 10)","(4, 3)","(10, 3)",pullBack,"[4185, 431, 446, 419, 448, 640, 500, 591, 1151, 1318, 459, 489]","[(7, 10), (7, 9), (7, 8), (7, 7), (7, 6), (7, 5), (7, 4), (7, 3), (8, 3), (7, 3), (8, 3), (9, 3), (10, 3)]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (1, 0), (1, 0), (1, 0)]",8,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 2]"
5,p16,"(7, 7)","(4, 14)","(10, 14)",pullBack,"[2339, 420, 406, 396, 423, 464, 480, 1954, 1256, 470]","[(7, 7), (7, 8), (7, 9), (7, 10), (7, 11), (7, 12), (7, 13), (6, 13), (6, 14), (5, 14), (4, 14)]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (0, 1), (-1, 0), (-1, 0)]",7,"[0, 0, 0, 0, 0, 0, 2, 0, 1, 1]"
6,p16,"(9, 7)","(2, 4)","(2, 10)",pullBack,"[1668, 375, 355, 305, 395, 356, 353, 1773, 757, 746, 427, 472]","[(9, 7), (8, 7), (7, 7), (6, 7), (5, 7), (4, 7), (3, 7), (2, 7), (2, 8), (2, 7), (2, 6), (2, 5), (2, 4)]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]",8,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1]"
7,p16,"(1, 7)","(8, 4)","(8, 10)",pullBack,"[5226, 377, 944, 408, 282, 352, 2457, 325, 515, 346, 339, 383, 2130, 1867]","[(1, 7), (2, 7), (3, 7), (4, 7), (5, 7), (6, 7), (7, 7), (7, 8), (7, 7), (7, 6), (7, 5), (7, 4), (7, 3), (8, 3), (8, 4)]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (0, 1)]",7,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0]"
