,name,initPlayer1Grid,target1Grid,target2Grid,noiseNumber,reactionTime,trajectory,aimAction,noisePoint,goal
0,p16,"(11, 7)","(4, 4)","(4, 10)",0,"[317231, 374, 479, 1134, 392, 322, 283, 265, 294, 405]","[(11, 7), (11, 6), (11, 5), (11, 4), (10, 4), (9, 4), (8, 4), (7, 4), (6, 4), (5, 4), (4, 4)]","[(0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]",[],"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
1,p16,"(7, 6)","(3, 13)","(11, 13)",0,"[3731, 436, 422, 405, 473, 459, 511, 793, 406, 393, 386]","[(7, 6), (7, 7), (7, 8), (7, 9), (7, 10), (7, 11), (7, 12), (7, 13), (6, 13), (5, 13), (4, 13), (3, 13)]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]",[],"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]"
2,p16,"(7, 9)","(5, 2)","(9, 2)",0,"[2336, 470, 438, 445, 526, 39, 1266, 1209, 672]","[(7, 9), (7, 8), (7, 7), (7, 6), (7, 5), (6, 5), (6, 4), (6, 3), (6, 2), (5, 2)]","[(0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (0, -1), (0, -1), (0, -1), (-1, 0)]",[],"[0, 0, 0, 0, 1, 0, 0, 0, 1]"
3,p16,"(9, 7)","(3, 5)","(3, 9)",0,"[1649, 428, 418, 392, 448, 501, 1100, 490]","[(9, 7), (8, 7), (7, 7), (6, 7), (5, 7), (4, 7), (3, 7), (3, 6), (3, 5)]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1)]",[],"[0, 0, 0, 0, 0, 0, 1, 1]"
4,p16,"(5, 7)","(11, 4)","(11, 10)",0,"[1425, 477, 498, 508, 520, 462, 1266, 455, 523]","[(5, 7), (6, 7), (7, 7), (8, 7), (9, 7), (10, 7), (11, 7), (11, 6), (11, 5), (11, 4)]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1)]",[],"[0, 0, 0, 0, 0, 0, 1, 1, 1]"
5,p16,"(7, 11)","(5, 5)","(9, 5)",0,"[1953, 506, 382, 486, 458, 500, 1772, 441]","[(7, 11), (7, 10), (7, 9), (7, 8), (7, 7), (7, 6), (7, 5), (6, 5), (5, 5)]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0)]",[],"[0, 0, 0, 0, 0, 0, 1, 1]"
6,p16,"(10, 7)","(5, 4)","(5, 10)",0,"[2828, 395, 328, 441, 419, 917, 452, 495]","[(10, 7), (9, 7), (8, 7), (7, 7), (6, 7), (5, 7), (5, 6), (5, 5), (5, 4)]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1)]",[],"[0, 0, 0, 0, 0, 1, 1, 1]"
7,p16,"(7, 10)","(3, 5)","(11, 5)",0,"[1138, 454, 467, 366, 480, 742, 424, 377, 511]","[(7, 10), (7, 9), (7, 8), (7, 7), (7, 6), (7, 5), (6, 5), (5, 5), (4, 5), (3, 5)]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]",[],"[0, 0, 0, 0, 0, 1, 1, 1, 1]"
