,name,initPlayer1Grid,initPlayer2Grid,target1Grid,target2Grid,aimActionPlayer1,reactionTime,aimActionPlayer2,trajectoryPlayer1,trajectoryPlayer2,goalPlayer1,goalPlayer2
0,p16,"(7, 2)","(7, 12)","(4, 7)","(10, 7)","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0)]","[415821, 552, 515, 513, 596, 1169, 540, 552]","[(1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]","[(7, 2), (7, 3), (7, 4), (7, 5), (7, 6), (7, 7), (8, 7), (9, 7), (10, 7)]","[(7, 12), (8, 12), (9, 12), (10, 12), (10, 11), (10, 10), (10, 9), (10, 8), (10, 7)]","[0, 0, 0, 0, 0, 2, 2, 2]","[2, 2, 2, 0, 0, 0, 0, 0]"
1,p16,"(7, 2)","(7, 14)","(4, 8)","(10, 8)","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0)]","[5968, 478, 442, 493, 461, 450, 1138, 461, 428]","[(-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]","[(7, 2), (7, 3), (7, 4), (7, 5), (7, 6), (7, 7), (7, 8), (6, 8), (5, 8), (4, 8)]","[(7, 14), (6, 14), (5, 14), (4, 14), (4, 13), (4, 12), (4, 11), (4, 10), (4, 9), (4, 8)]","[0, 0, 0, 0, 0, 0, 1, 1, 1]","[1, 1, 1, 0, 0, 0, 0, 0, 0]"
2,p16,"(7, 0)","(7, 14)","(4, 7)","(10, 7)","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0)]","[4674, 492, 798, 573, 1257, 584, 505, 628, 453, 358]","[(0, -1), (-1, 0), (-1, 0), (0, -1), (0, -1), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1)]","[(7, 0), (7, 1), (7, 2), (7, 3), (7, 4), (7, 5), (7, 6), (7, 7), (6, 7), (5, 7), (4, 7)]","[(7, 14), (7, 13), (6, 13), (5, 13), (5, 12), (5, 11), (4, 11), (4, 10), (4, 9), (4, 8), (4, 7)]","[0, 0, 0, 0, 0, 0, 0, 1, 1, 1]","[0, 1, 1, 0, 0, 1, 0, 0, 0, 0]"
3,p16,"(1, 7)","(11, 7)","(6, 3)","(6, 11)","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1)]","[3268, 565, 622, 532, 572, 1386, 2832, 467, 431]","[(0, -1), (-1, 0), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1)]","[(1, 7), (2, 7), (3, 7), (4, 7), (5, 7), (6, 7), (6, 8), (6, 9), (6, 10), (6, 11)]","[(11, 7), (11, 6), (10, 6), (10, 5), (10, 4), (9, 4), (8, 4), (7, 4), (6, 4), (6, 3)]","[0, 0, 0, 0, 0, 2, 2, 2, 2]","[1, 0, 1, 1, 0, 0, 0, 0, 1]"
4,p16,"(7, 14)","(7, 0)","(3, 7)","(11, 7)","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]","[3369, 529, 588, 525, 512, 486, 488, 808, 417, 447, 439]","[(-1, 0), (0, 1), (0, 1), (-1, 0), (0, 1), (-1, 0), (0, 1), (-1, 0), (0, 1), (0, 1), (0, 1)]","[(7, 14), (7, 13), (7, 12), (7, 11), (7, 10), (7, 9), (7, 8), (7, 7), (6, 7), (5, 7), (4, 7), (3, 7)]","[(7, 0), (6, 0), (6, 1), (6, 2), (5, 2), (5, 3), (4, 3), (4, 4), (3, 4), (3, 5), (3, 6), (3, 7)]","[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]","[1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0]"
5,p16,"(7, 0)","(7, 10)","(5, 5)","(9, 5)","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0)]","[3465, 499, 479, 508, 489, 1441, 1109]","[(0, -1), (0, -1), (1, 0), (0, -1), (1, 0), (0, -1), (0, -1)]","[(7, 0), (7, 1), (7, 2), (7, 3), (7, 4), (7, 5), (8, 5), (9, 5)]","[(7, 10), (7, 9), (7, 8), (8, 8), (8, 7), (9, 7), (9, 6), (9, 5)]","[0, 0, 0, 0, 0, 2, 2]","[0, 0, 2, 0, 2, 0, 0]"
6,p16,"(12, 7)","(0, 7)","(6, 5)","(6, 9)","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1)]","[2123, 472, 455, 491, 510, 539, 3506, 630]","[(0, 1), (1, 0), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]","[(12, 7), (11, 7), (10, 7), (9, 7), (8, 7), (7, 7), (6, 7), (6, 6), (6, 5)]","[(0, 7), (0, 8), (1, 8), (1, 9), (2, 9), (3, 9), (4, 9), (5, 9), (6, 9)]","[0, 0, 0, 0, 0, 0, 1, 1]","[2, 0, 2, 0, 0, 0, 0, 0]"
7,p16,"(7, 14)","(7, 0)","(5, 7)","(9, 7)","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (0, 1), (0, 1)]","[1803, 446, 401, 444, 376, 396, 482, 2293, 583, 1492, 484, 2954, 483]","[(1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 0), (0, 0), (0, 0), (0, 0)]","[(7, 14), (7, 13), (7, 12), (7, 11), (7, 10), (7, 9), (7, 8), (7, 7), (7, 6), (7, 5), (8, 5), (9, 5), (9, 6), (9, 7)]","[(7, 0), (8, 0), (9, 0), (9, 1), (9, 2), (9, 3), (9, 4), (9, 5), (9, 6), (9, 7), (9, 7), (9, 7), (9, 7), (9, 7)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0]","[2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
