,name,initPlayer1Grid,target1Grid,target2Grid,noiseNumber,reactionTime,trajectory,aimAction,noisePoint,goal
0,p04,"(7, 7)","(5, 12)","(9, 12)",0,"[581, 111, 155, 231, 435, 781, 208]","[(7, 7), (7, 8), (7, 9), (7, 10), (7, 11), (7, 12), (8, 12), (9, 12)]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0)]",[],"[0, 0, 0, 0, 0, 2, 2]"
1,p04,"(6, 7)","(13, 3)","(13, 11)",0,"[1930, 1168, 233, 210, 161, 190, 200, 721, 176, 169, 182]","[(6, 7), (7, 7), (8, 7), (9, 7), (10, 7), (11, 7), (12, 7), (13, 7), (13, 6), (13, 5), (13, 4), (13, 3)]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1)]",[],"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]"
2,p04,"(7, 9)","(5, 3)","(9, 3)",0,"[959, 566, 212, 157, 176, 207, 527, 445]","[(7, 9), (8, 9), (8, 8), (8, 7), (8, 6), (8, 5), (8, 4), (8, 3), (9, 3)]","[(1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0)]",[],"[2, 0, 0, 0, 0, 0, 0, 2]"
3,p04,"(7, 7)","(3, 12)","(11, 12)",0,"[1205, 239, 154, 393, 576, 195, 186, 159, 425]","[(7, 7), (8, 7), (9, 7), (10, 7), (11, 7), (11, 8), (11, 9), (11, 10), (11, 11), (11, 12)]","[(1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]",[],"[2, 2, 2, 2, 0, 0, 0, 0, 0]"
4,p04,"(7, 7)","(3, 1)","(11, 1)",0,"[1105, 209, 186, 175, 190, 207, 649, 180, 178, 438]","[(7, 7), (7, 6), (7, 5), (7, 4), (7, 3), (7, 2), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1)]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0)]",[],"[0, 0, 0, 0, 0, 0, 2, 2, 2, 2]"
5,p04,"(12, 7)","(5, 4)","(5, 10)",0,"[1918, 194, 171, 188, 165, 184, 237, 1141, 167, 199]","[(12, 7), (11, 7), (10, 7), (9, 7), (8, 7), (7, 7), (6, 7), (5, 7), (5, 8), (5, 9), (5, 10)]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1)]",[],"[0, 0, 0, 0, 0, 0, 0, 2, 2, 2]"
6,p04,"(5, 7)","(10, 3)","(10, 11)",0,"[579, 1399, 175, 206, 1180, 154, 178, 184, 158]","[(5, 7), (5, 8), (5, 9), (5, 10), (5, 11), (6, 11), (7, 11), (8, 11), (9, 11), (10, 11)]","[(0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]",[],"[2, 2, 2, 2, 0, 0, 0, 0, 0]"
7,p04,"(7, 4)","(4, 9)","(10, 9)",0,"[1400, 311, 337, 379, 411, 805, 215, 175]","[(7, 4), (7, 5), (7, 6), (7, 7), (7, 8), (7, 9), (8, 9), (9, 9), (10, 9)]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0)]",[],"[0, 0, 0, 0, 0, 2, 2, 2]"
