,name,initPlayer1Grid,initPlayer2Grid,target1Grid,target2Grid,aimActionPlayer1,reactionTime,aimActionPlayer2,trajectoryPlayer1,trajectoryPlayer2,goalPlayer1,goalPlayer2
0,test,"(10, 7)","(0, 7)","(5, 3)","(5, 11)","[(1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (-1, 0), (0, -1), (-1, 0), (0, -1), (-1, 0), (0, -1)]","[1118, 866, 195, 191, 206, 132, 132, 73, 73, 132, 282]","[(0, 1), (0, 1), (1, 0), (0, 1), (1, 0), (1, 0), (1, 0), (0, 1), (1, 0), (0, 0), (0, 0)]","[(10, 7), (11, 7), (10, 7), (9, 7), (8, 7), (8, 6), (7, 6), (7, 5), (6, 5), (6, 4), (5, 4), (5, 3)]","[(0, 7), (0, 8), (0, 9), (1, 9), (1, 10), (2, 10), (3, 10), (4, 10), (4, 11), (5, 11), (5, 11), (5, 11)]","[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1]","[2, 2, 0, 2, 0, 0, 0, 2, 0, 0, 0]"
1,test,"(7, 0)","(7, 14)","(3, 7)","(11, 7)","[(0, 1), (-1, 0), (0, 1), (-1, 0), (0, 1), (-1, 0), (0, 1), (-1, 0), (0, 1), (0, 1), (0, 1)]","[687, 267, 192, 192, 87, 132, 131, 102, 475, 253, 311]","[(1, 0), (0, -1), (1, 0), (0, -1), (0, -1), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1)]","[(7, 0), (7, 1), (6, 1), (6, 2), (5, 2), (5, 3), (4, 3), (4, 4), (3, 4), (3, 5), (3, 6), (3, 7)]","[(7, 14), (8, 14), (8, 13), (9, 13), (9, 12), (9, 11), (10, 11), (11, 11), (11, 10), (11, 9), (11, 8), (11, 7)]","[0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0]","[2, 0, 2, 0, 0, 2, 2, 0, 0, 0, 0]"
2,test,"(13, 7)","(1, 7)","(7, 5)","(7, 9)","[(-1, 0), (0, -1), (-1, 0), (-1, 0), (-1, 0), (0, -1), (-1, 0), (-1, 0)]","[458, 191, 163, 253, 252, 131, 71, 178]","[(1, 0), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]","[(13, 7), (12, 7), (12, 6), (11, 6), (10, 6), (9, 6), (9, 5), (8, 5), (7, 5)]","[(1, 7), (2, 7), (2, 8), (2, 9), (3, 9), (4, 9), (5, 9), (6, 9), (7, 9)]","[0, 1, 0, 0, 0, 1, 0, 0]","[0, 2, 2, 0, 0, 0, 0, 0]"
3,test,"(0, 7)","(14, 7)","(7, 4)","(7, 10)","[(1, 0), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1)]","[804, 86, 169, 284, 208, 205, 162, 206, 133, 203]","[(-1, 0), (0, 1), (0, 1), (-1, 0), (-1, 0), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]","[(0, 7), (1, 7), (1, 6), (2, 6), (3, 6), (4, 6), (5, 6), (6, 6), (7, 6), (7, 5), (7, 4)]","[(14, 7), (13, 7), (13, 8), (13, 9), (12, 9), (11, 9), (11, 10), (10, 10), (9, 10), (8, 10), (7, 10)]","[0, 1, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 2, 2, 0, 0, 2, 0, 0, 0, 0]"
4,test,"(7, 2)","(7, 14)","(3, 8)","(11, 8)","[(0, 1), (-1, 0), (0, 1), (-1, 0), (0, 1), (-1, 0), (0, 1), (0, 1), (0, 1), (-1, 0)]","[602, 163, 174, 147, 117, 150, 116, 193, 116, 87]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]","[(7, 2), (7, 3), (6, 3), (6, 4), (5, 4), (5, 5), (4, 5), (4, 6), (4, 7), (4, 8), (3, 8)]","[(7, 14), (6, 14), (5, 14), (4, 14), (3, 14), (3, 13), (3, 12), (3, 11), (3, 10), (3, 9), (3, 8)]","[0, 1, 0, 1, 0, 1, 0, 0, 0, 1]","[1, 1, 1, 1, 0, 0, 0, 0, 0, 0]"
5,test,"(10, 7)","(0, 7)","(5, 4)","(5, 10)","[(-1, 0), (-1, 0), (0, -1), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1)]","[454, 193, 100, 99, 132, 192, 103, 251]","[(1, 0), (0, 1), (1, 0), (1, 0), (0, 1), (0, 1), (1, 0), (1, 0)]","[(10, 7), (9, 7), (8, 7), (8, 6), (7, 6), (6, 6), (5, 6), (5, 5), (5, 4)]","[(0, 7), (1, 7), (1, 8), (2, 8), (3, 8), (3, 9), (3, 10), (4, 10), (5, 10)]","[0, 0, 1, 0, 0, 0, 1, 1]","[0, 2, 0, 0, 2, 2, 0, 0]"
6,test,"(12, 7)","(0, 7)","(6, 4)","(6, 10)","[(-1, 0), (-1, 0), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1)]","[437, 194, 203, 133, 193, 191, 221, 103, 222]","[(0, 1), (1, 0), (1, 0), (0, 1), (1, 0), (0, 1), (1, 0), (1, 0), (1, 0)]","[(12, 7), (11, 7), (10, 7), (10, 6), (9, 6), (8, 6), (7, 6), (6, 6), (6, 5), (6, 4)]","[(0, 7), (0, 8), (1, 8), (2, 8), (2, 9), (3, 9), (3, 10), (4, 10), (5, 10), (6, 10)]","[0, 0, 1, 0, 0, 0, 0, 1, 1]","[2, 0, 0, 2, 0, 2, 0, 0, 0]"
7,test,"(7, 0)","(7, 14)","(5, 7)","(9, 7)","[(0, 1), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (0, 1), (0, 1)]","[583, 143, 103, 412, 207, 161, 118, 117, 238]","[(1, 0), (0, -1), (0, -1), (0, -1), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1)]","[(7, 0), (7, 1), (6, 1), (6, 2), (6, 3), (6, 4), (6, 5), (5, 5), (5, 6), (5, 7)]","[(7, 14), (8, 14), (8, 13), (8, 12), (8, 11), (9, 11), (9, 10), (9, 9), (9, 8), (9, 7)]","[0, 1, 0, 0, 0, 0, 1, 0, 0]","[2, 0, 0, 0, 2, 0, 0, 0, 0]"
8,test,"(13, 7)","(3, 7)","(8, 5)","(8, 9)","[(-1, 0), (-1, 0), (0, -1), (-1, 0), (-1, 0), (-1, 0), (0, -1)]","[442, 205, 102, 122, 306, 178, 100]","[(0, 1), (1, 0), (1, 0), (1, 0), (0, 1), (1, 0), (1, 0)]","[(13, 7), (12, 7), (11, 7), (11, 6), (10, 6), (9, 6), (8, 6), (8, 5)]","[(3, 7), (3, 8), (4, 8), (5, 8), (6, 8), (6, 9), (7, 9), (8, 9)]","[0, 0, 1, 0, 0, 0, 1]","[2, 0, 0, 0, 2, 0, 0]"
9,test,"(7, 14)","(7, 0)","(5, 7)","(9, 7)","[(0, -1), (-1, 0), (0, -1), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]","[986, 186, 120, 191, 103, 192, 163, 181, 147]","[(0, 1), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]","[(7, 14), (7, 13), (6, 13), (6, 12), (5, 12), (5, 11), (5, 10), (5, 9), (5, 8), (5, 7)]","[(7, 0), (7, 1), (8, 1), (9, 1), (9, 2), (9, 3), (9, 4), (9, 5), (9, 6), (9, 7)]","[0, 1, 0, 1, 0, 0, 0, 0, 0]","[0, 2, 2, 0, 0, 0, 0, 0, 0]"
