,name,initPlayer1Grid,target1Grid,target2Grid,noiseNumber,reactionTime,trajectory,aimAction,noisePoint,goal
0,p02,"(12, 7)","(5, 5)","(5, 9)",0,"[3105, 222, 952, 393, 207, 191, 174, 201, 254]","[(12, 7), (12, 6), (12, 5), (11, 5), (10, 5), (9, 5), (8, 5), (7, 5), (6, 5), (5, 5)]","[(0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]",[],"[1, 1, 0, 0, 0, 0, 0, 0, 0]"
1,p02,"(7, 7)","(2, 5)","(2, 9)",0,"[1420, 220, 1295, 195, 183, 213, 378]","[(7, 7), (7, 6), (7, 5), (6, 5), (5, 5), (4, 5), (3, 5), (2, 5)]","[(0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]",[],"[1, 1, 0, 0, 0, 0, 0]"
2,p02,"(7, 0)","(4, 6)","(10, 6)",0,"[1139, 233, 202, 200, 210, 214, 1212, 184, 346]","[(7, 0), (7, 1), (7, 2), (7, 3), (7, 4), (7, 5), (7, 6), (8, 6), (9, 6), (10, 6)]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0)]",[],"[0, 0, 0, 0, 0, 0, 2, 2, 2]"
3,p02,"(7, 5)","(3, 11)","(11, 11)",0,"[778, 215, 212, 205, 204, 227, 735, 211, 192, 223]","[(7, 5), (7, 6), (7, 7), (7, 8), (7, 9), (7, 10), (7, 11), (8, 11), (9, 11), (10, 11), (11, 11)]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0)]",[],"[0, 0, 0, 0, 0, 0, 2, 2, 2, 2]"
4,p02,"(3, 7)","(8, 3)","(8, 11)",0,"[2316, 192, 261, 206, 245, 1762, 437, 225, 217]","[(3, 7), (4, 7), (5, 7), (6, 7), (7, 7), (8, 7), (8, 8), (8, 9), (8, 10), (8, 11)]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1)]",[],"[0, 0, 0, 0, 0, 2, 2, 2, 2]"
5,p02,"(7, 4)","(4, 9)","(10, 9)",0,"[1540, 234, 199, 222, 240, 847, 242, 383]","[(7, 4), (7, 5), (7, 6), (7, 7), (7, 8), (7, 9), (8, 9), (9, 9), (10, 9)]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0)]",[],"[0, 0, 0, 0, 0, 2, 2, 2]"
6,p02,"(7, 9)","(4, 2)","(10, 2)",0,"[1544, 306, 395, 240, 214, 219, 240, 961, 213, 203]","[(7, 9), (7, 8), (7, 7), (7, 6), (7, 5), (7, 4), (7, 3), (7, 2), (8, 2), (9, 2), (10, 2)]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0)]",[],"[0, 0, 0, 0, 0, 0, 0, 2, 2, 2]"
7,p02,"(7, 1)","(3, 8)","(11, 8)",0,"[1486, 149, 220, 224, 244, 247, 257, 657, 255, 215, 227]","[(7, 1), (7, 2), (7, 3), (7, 4), (7, 5), (7, 6), (7, 7), (7, 8), (8, 8), (9, 8), (10, 8), (11, 8)]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0)]",[],"[0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2]"
