,name,initPlayer1Grid,target1Grid,target2Grid,noiseNumber,reactionTime,trajectory,aimAction,noisePoint,goal
0,p11,"(7, 0)","(3, 7)","(11, 7)",0,"[3301, 511, 358, 249, 333, 242, 15, 3640, 1184, 282, 237, 1119, 1008, 1264, 3962, 984, 3186, 388]","[(7, 0), (7, 0), (7, 1), (7, 2), (7, 3), (7, 4), (7, 5), (8, 5), (9, 5), (10, 5), (11, 5), (12, 5), (12, 6), (12, 5), (12, 6), (13, 6), (13, 7), (12, 7), (11, 7)]","[(0, -1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, -1), (0, 1), (1, 0), (0, 1), (-1, 0), (-1, 0)]",[],"[0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
1,p11,"(7, 0)","(3, 7)","(11, 7)",0,"[1941, 338, 304, 402, 466, 530, 511, 907, 353, 344, 296]","[(7, 0), (7, 1), (7, 2), (7, 3), (7, 4), (7, 5), (7, 6), (7, 7), (8, 7), (9, 7), (10, 7), (11, 7)]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0)]",[],"[0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2]"
2,p11,"(7, 6)","(3, 12)","(11, 12)",0,"[1998, 310, 291, 1680, 304, 259, 1351, 282, 282, 599]","[(7, 6), (7, 7), (7, 8), (7, 9), (6, 9), (5, 9), (4, 9), (4, 10), (4, 11), (4, 12), (3, 12)]","[(0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (-1, 0)]",[],"[0, 0, 0, 1, 1, 1, 0, 0, 0, 1]"
3,p11,"(0, 7)","(6, 5)","(6, 9)",0,"[2422, 491, 967, 458, 330, 322, 283, 348]","[(0, 7), (0, 6), (0, 5), (1, 5), (2, 5), (3, 5), (4, 5), (5, 5), (6, 5)]","[(0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]",[],"[1, 1, 0, 0, 0, 0, 0, 0]"
4,p11,"(7, 10)","(3, 5)","(11, 5)",0,"[2947, 537, 1387, 336, 316, 1603, 290, 301, 789, 323, 806, 379, 529]","[(7, 10), (8, 10), (9, 10), (9, 9), (9, 8), (9, 7), (8, 7), (7, 7), (6, 7), (6, 6), (6, 5), (5, 5), (4, 5), (3, 5)]","[(1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0)]",[],"[2, 2, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1]"
5,p11,"(14, 7)","(7, 4)","(7, 10)",0,"[1910, 371, 310, 302, 349, 346, 392, 1223, 392, 456]","[(14, 7), (13, 7), (12, 7), (11, 7), (10, 7), (9, 7), (8, 7), (7, 7), (7, 6), (7, 5), (7, 4)]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1)]",[],"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1]"
6,p11,"(7, 12)","(4, 7)","(10, 7)",0,"[1345, 534, 569, 403, 307, 324, 281, 262, 1069, 289, 291, 1123, 1089, 946, 2186, 1339, 296, 261, 289, 867, 770, 2725]","[(7, 12), (7, 13), (7, 14), (7, 13), (7, 12), (7, 11), (7, 10), (7, 9), (7, 8), (8, 8), (9, 8), (10, 8), (11, 8), (11, 9), (12, 9), (13, 9), (12, 9), (11, 9), (10, 9), (9, 9), (9, 8), (9, 7), (10, 7)]","[(0, 1), (0, 1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (1, 0), (1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (1, 0)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2]"
7,p11,"(7, 9)","(5, 2)","(9, 2)",0,"[2944, 524, 489, 549, 578, 590, 636, 1333, 1030]","[(7, 9), (7, 8), (7, 7), (7, 6), (7, 5), (7, 4), (7, 3), (7, 2), (6, 2), (5, 2)]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0)]",[],"[0, 0, 0, 0, 0, 0, 0, 1, 1]"
