,name,initPlayer1Grid,target1Grid,target2Grid,noiseNumber,reactionTime,trajectory,aimAction,noisePoint,goal
0,p09,"(6, 7)","(13, 3)","(13, 11)",0,"[245068, 257, 305, 212, 265, 368, 263, 229, 334, 301, 1213, 280, 237, 252, 1072, 440, 769, 556, 1671, 457]","[(6, 7), (7, 7), (8, 7), (9, 7), (10, 7), (10, 8), (11, 8), (12, 8), (13, 8), (14, 8), (14, 8), (14, 9), (14, 10), (14, 11), (14, 12), (14, 11), (14, 10), (13, 10), (12, 10), (13, 10), (13, 11)]","[(1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, -1), (0, -1), (-1, 0), (-1, 0), (1, 0), (0, 1)]",[],"[0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 1, 0, 0, 0, 2]"
1,p09,"(6, 7)","(13, 5)","(13, 9)",0,"[2910, 312, 287, 1195, 341, 327, 1068, 395, 404, 1063, 437]","[(6, 7), (7, 7), (8, 7), (9, 7), (9, 6), (9, 5), (9, 4), (10, 4), (11, 4), (12, 4), (12, 5), (13, 5)]","[(1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (0, 1), (1, 0)]",[],"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
2,p09,"(12, 7)","(5, 4)","(5, 10)",0,"[1860, 338, 257, 339, 1584, 338, 347, 303, 543, 417, 1964, 1508]","[(12, 7), (12, 6), (12, 5), (12, 4), (12, 3), (11, 3), (10, 3), (9, 3), (8, 3), (7, 3), (6, 3), (6, 4), (5, 4)]","[(0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (-1, 0)]",[],"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3,p09,"(7, 12)","(5, 7)","(9, 7)",0,"[2791, 280, 310, 324, 798, 324, 332, 1861, 957]","[(7, 12), (7, 11), (7, 10), (7, 9), (7, 8), (6, 8), (5, 8), (4, 8), (5, 8), (5, 7)]","[(0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (1, 0), (0, -1)]",[],"[0, 0, 0, 0, 1, 1, 0, 0, 0]"
4,p09,"(11, 7)","(5, 4)","(5, 10)",0,"[1654, 300, 301, 320, 328, 1754, 334, 330, 278, 338, 566]","[(11, 7), (11, 8), (11, 7), (11, 6), (11, 5), (11, 4), (10, 4), (9, 4), (8, 4), (7, 4), (6, 4), (5, 4)]","[(0, 1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]",[],"[2, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]"
5,p09,"(7, 6)","(3, 0)","(11, 0)",0,"[2365, 303, 354, 318, 344, 435, 1075, 298, 670, 701]","[(7, 6), (7, 5), (7, 4), (7, 3), (7, 2), (6, 2), (5, 2), (5, 1), (5, 0), (4, 0), (3, 0)]","[(0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (0, -1), (0, -1), (-1, 0), (-1, 0)]",[],"[0, 0, 0, 0, 1, 1, 0, 0, 1, 1]"
6,p09,"(8, 7)","(14, 5)","(14, 9)",0,"[1751, 289, 209, 287, 1166, 409, 1155, 437]","[(8, 7), (9, 7), (10, 7), (11, 7), (12, 7), (12, 6), (12, 5), (13, 5), (14, 5)]","[(1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (1, 0), (1, 0)]",[],"[0, 0, 0, 0, 1, 1, 0, 0]"
7,p09,"(7, 6)","(5, 1)","(9, 1)",0,"[2062, 275, 259, 722, 333, 787, 390]","[(7, 6), (7, 5), (7, 4), (7, 3), (6, 3), (5, 3), (5, 2), (5, 1)]","[(0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (0, -1), (0, -1)]",[],"[0, 0, 0, 1, 1, 0, 0]"
