,name,initPlayer1Grid,target1Grid,target2Grid,noiseNumber,reactionTime,trajectory,aimAction,noisePoint,goal
0,p07,"(6, 7)","(13, 4)","(13, 10)",0,"[2659, 200, 205, 203, 224, 209, 198, 1729, 169, 232]","[(6, 7), (7, 7), (8, 7), (9, 7), (10, 7), (11, 7), (12, 7), (13, 7), (13, 6), (13, 5), (13, 4)]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1)]",[],"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1]"
1,p07,"(14, 7)","(8, 5)","(8, 9)",0,"[2118, 253, 249, 232, 735, 1056, 1544, 227]","[(14, 7), (13, 7), (12, 7), (11, 7), (10, 7), (9, 7), (8, 7), (8, 6), (8, 5)]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1)]",[],"[0, 0, 0, 0, 0, 0, 1, 1]"
2,p07,"(7, 12)","(3, 5)","(11, 5)",0,"[1848, 289, 280, 242, 229, 269, 419, 1396, 290, 266, 220]","[(7, 12), (7, 11), (7, 10), (7, 9), (7, 8), (7, 7), (7, 6), (7, 5), (8, 5), (9, 5), (10, 5), (11, 5)]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0)]",[],"[0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2]"
3,p07,"(14, 7)","(9, 3)","(9, 11)",0,"[1901, 231, 218, 239, 236, 1173, 225, 297, 490]","[(14, 7), (13, 7), (12, 7), (11, 7), (10, 7), (9, 7), (9, 6), (9, 5), (9, 4), (9, 3)]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1)]",[],"[0, 0, 0, 0, 0, 1, 1, 1, 1]"
4,p07,"(2, 7)","(8, 3)","(8, 11)",0,"[1643, 219, 247, 204, 227, 219, 1234, 256, 257, 533]","[(2, 7), (3, 7), (4, 7), (5, 7), (6, 7), (7, 7), (8, 7), (8, 6), (8, 5), (8, 4), (8, 3)]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1)]",[],"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1]"
5,p07,"(6, 7)","(0, 4)","(0, 10)",0,"[1829, 243, 232, 248, 416, 277, 1057, 251, 290]","[(6, 7), (5, 7), (4, 7), (3, 7), (2, 7), (1, 7), (0, 7), (0, 6), (0, 5), (0, 4)]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1)]",[],"[0, 0, 0, 0, 0, 0, 1, 1, 1]"
6,p07,"(7, 9)","(4, 14)","(10, 14)",0,"[3079, 206, 292, 250, 189, 740, 280, 253]","[(7, 9), (7, 10), (7, 11), (7, 12), (7, 13), (7, 14), (8, 14), (9, 14), (10, 14)]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0)]",[],"[0, 0, 0, 0, 0, 2, 2, 2]"
7,p07,"(2, 7)","(9, 5)","(9, 9)",0,"[2660, 242, 273, 249, 216, 254, 186, 1292, 245]","[(2, 7), (3, 7), (4, 7), (5, 7), (6, 7), (7, 7), (8, 7), (9, 7), (9, 6), (9, 5)]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1)]",[],"[0, 0, 0, 0, 0, 0, 0, 1, 1]"
