,name,initPlayer1Grid,initPlayer2Grid,target1Grid,target2Grid,aimActionPlayer1,reactionTime,aimActionPlayer2,trajectoryPlayer1,trajectoryPlayer2,goalPlayer1,goalPlayer2
0,p12,"(14, 7)","(4, 7)","(9, 5)","(9, 9)","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1)]","[204826, 603, 240, 236, 238, 1317, 262]","[(0, 1), (1, 0), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0)]","[(14, 7), (13, 7), (12, 7), (11, 7), (10, 7), (9, 7), (9, 8), (9, 9)]","[(4, 7), (4, 8), (5, 8), (5, 9), (6, 9), (7, 9), (8, 9), (9, 9)]","[0, 0, 0, 0, 0, 2, 2]","[2, 0, 2, 0, 0, 0, 0]"
1,p12,"(7, 14)","(7, 0)","(4, 7)","(10, 7)","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0)]","[1793, 281, 417, 268, 284, 767, 1228, 481, 289, 243]","[(1, 0), (0, 1), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (0, 1), (0, 1)]","[(7, 14), (7, 13), (7, 12), (7, 11), (7, 10), (7, 9), (7, 8), (7, 7), (6, 7), (5, 7), (4, 7)]","[(7, 0), (8, 0), (8, 1), (9, 1), (9, 2), (9, 3), (9, 4), (9, 5), (10, 5), (10, 6), (10, 7)]","[0, 0, 0, 0, 0, 0, 0, 1, 1, 1]","[2, 0, 2, 0, 0, 0, 0, 2, 0, 0]"
2,p12,"(0, 7)","(12, 7)","(6, 5)","(6, 9)","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (1, 0), (0, 1)]","[1126, 932, 188, 207, 218, 341, 951, 522]","[(0, 1), (-1, 0), (-1, 0), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]","[(0, 7), (1, 7), (2, 7), (3, 7), (4, 7), (5, 7), (5, 8), (6, 8), (6, 9)]","[(12, 7), (12, 8), (11, 8), (10, 8), (10, 9), (9, 9), (8, 9), (7, 9), (6, 9)]","[0, 0, 0, 0, 0, 2, 0, 2]","[2, 0, 0, 2, 0, 0, 0, 0]"
3,p12,"(7, 12)","(7, 0)","(3, 6)","(11, 6)","[(1, 0), (0, -1), (0, -1), (0, -1), (-1, 0), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]","[573, 1833, 412, 274, 370, 859, 344, 233, 447, 723, 244, 502]","[(-1, 0), (-1, 0), (0, 1), (-1, 0), (0, 1), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 0), (0, 0)]","[(7, 12), (8, 12), (8, 11), (8, 10), (8, 9), (7, 9), (7, 8), (7, 7), (7, 6), (6, 6), (5, 6), (4, 6), (3, 6)]","[(7, 0), (6, 0), (5, 0), (5, 1), (4, 1), (4, 2), (3, 2), (3, 3), (3, 4), (3, 5), (3, 6), (3, 6), (3, 6)]","[2, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1]","[1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0]"
4,p12,"(12, 7)","(2, 7)","(7, 3)","(7, 11)","[(1, 0), (1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1)]","[709, 546, 409, 957, 213, 177, 223, 215, 192, 841, 214, 212, 231]","[(1, 0), (0, 1), (1, 0), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (0, 0), (0, 0), (0, 0), (0, 0)]","[(12, 7), (13, 7), (14, 7), (13, 7), (12, 7), (11, 7), (10, 7), (9, 7), (8, 7), (7, 7), (7, 6), (7, 5), (7, 4), (7, 3)]","[(2, 7), (3, 7), (3, 8), (4, 8), (4, 9), (4, 10), (4, 11), (5, 11), (6, 11), (7, 11), (7, 11), (7, 11), (7, 11), (7, 11)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]","[0, 2, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0]"
5,p12,"(7, 1)","(7, 11)","(4, 6)","(10, 6)","[(0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (0, 1)]","[1360, 248, 220, 228, 336, 312, 696, 992]","[(1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]","[(7, 1), (7, 2), (7, 3), (7, 4), (7, 5), (6, 5), (5, 5), (4, 5), (4, 6)]","[(7, 11), (8, 11), (9, 11), (10, 11), (10, 10), (10, 9), (10, 8), (10, 7), (10, 6)]","[0, 0, 0, 0, 1, 1, 1, 0]","[2, 2, 2, 0, 0, 0, 0, 0]"
6,p12,"(7, 14)","(7, 2)","(4, 8)","(10, 8)","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (0, -1), (1, 0)]","[1332, 346, 220, 203, 212, 913, 352, 588, 392]","[(1, 0), (0, 1), (0, 1), (1, 0), (0, 1), (1, 0), (0, 1), (0, 1), (0, 1)]","[(7, 14), (7, 13), (7, 12), (7, 11), (7, 10), (7, 9), (8, 9), (9, 9), (9, 8), (10, 8)]","[(7, 2), (8, 2), (8, 3), (8, 4), (9, 4), (9, 5), (10, 5), (10, 6), (10, 7), (10, 8)]","[0, 0, 0, 0, 0, 2, 2, 0, 2]","[2, 0, 0, 2, 0, 2, 0, 0, 0]"
7,p12,"(14, 7)","(2, 7)","(8, 4)","(8, 10)","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1)]","[1609, 267, 233, 234, 248, 655, 322, 535, 382]","[(1, 0), (0, -1), (1, 0), (0, -1), (1, 0), (1, 0), (1, 0), (0, -1), (1, 0)]","[(14, 7), (13, 7), (12, 7), (11, 7), (10, 7), (9, 7), (8, 7), (8, 8), (8, 9), (8, 10)]","[(2, 7), (3, 7), (3, 6), (4, 6), (4, 5), (5, 5), (6, 5), (7, 5), (7, 4), (8, 4)]","[0, 0, 0, 0, 0, 0, 2, 2, 2]","[0, 1, 0, 1, 0, 0, 0, 1, 0]"
