,name,initPlayer1Grid,target1Grid,target2Grid,noiseNumber,reactionTime,trajectory,aimAction,noisePoint,goal
0,p12,"(7, 9)","(5, 3)","(9, 3)",0,"[140302, 272, 588, 355, 325, 637, 899, 367, 985, 966]","[(7, 9), (7, 8), (7, 7), (7, 6), (7, 5), (7, 4), (7, 3), (7, 4), (6, 4), (6, 3), (5, 3)]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, 1), (-1, 0), (0, -1), (-1, 0)]",[],"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
1,p12,"(3, 7)","(10, 4)","(10, 10)",0,"[1104, 290, 231, 215, 227, 618, 518, 669, 216, 201]","[(3, 7), (4, 7), (5, 7), (6, 7), (7, 7), (8, 7), (9, 7), (10, 7), (10, 6), (10, 5), (10, 4)]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1)]",[],"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1]"
2,p12,"(7, 7)","(3, 0)","(11, 0)",0,"[1179, 206, 198, 585, 1016, 216, 191, 219, 190, 344, 409]","[(7, 7), (6, 7), (5, 7), (4, 7), (3, 7), (3, 6), (3, 5), (3, 4), (3, 3), (3, 2), (3, 1), (3, 0)]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]",[],"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
3,p12,"(4, 7)","(9, 3)","(9, 11)",0,"[1392, 216, 261, 239, 619, 1404, 230, 214, 196]","[(4, 7), (5, 7), (6, 7), (7, 7), (8, 7), (9, 7), (9, 8), (9, 9), (9, 10), (9, 11)]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1)]",[],"[0, 0, 0, 0, 0, 2, 2, 2, 2]"
4,p12,"(5, 7)","(11, 4)","(11, 10)",0,"[1013, 261, 201, 227, 249, 204, 1421, 202, 217]","[(5, 7), (6, 7), (7, 7), (8, 7), (9, 7), (10, 7), (11, 7), (11, 8), (11, 9), (11, 10)]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1)]",[],"[0, 0, 0, 0, 0, 0, 2, 2, 2]"
5,p12,"(6, 7)","(12, 3)","(12, 11)",0,"[1258, 226, 240, 224, 432, 424, 1346, 358, 220, 489]","[(6, 7), (7, 7), (8, 7), (9, 7), (10, 7), (11, 7), (12, 7), (12, 6), (12, 5), (12, 4), (12, 3)]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1)]",[],"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1]"
6,p12,"(7, 8)","(3, 2)","(11, 2)",0,"[2635, 211, 243, 633, 1098, 263, 234, 226, 251, 470]","[(7, 8), (6, 8), (5, 8), (4, 8), (3, 8), (3, 7), (3, 6), (3, 5), (3, 4), (3, 3), (3, 2)]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]",[],"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0]"
7,p12,"(7, 13)","(5, 6)","(9, 6)",0,"[2396, 217, 1114, 262, 237, 290, 222, 260, 451]","[(7, 13), (6, 13), (5, 13), (5, 12), (5, 11), (5, 10), (5, 9), (5, 8), (5, 7), (5, 6)]","[(-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]",[],"[1, 1, 0, 0, 0, 0, 0, 0, 0]"
