,name,initPlayer1Grid,initPlayer2Grid,target1Grid,target2Grid,aimActionPlayer1,reactionTime,aimActionPlayer2,trajectoryPlayer1,trajectoryPlayer2,goalPlayer1,goalPlayer2
0,p08,"(7, 0)","(7, 14)","(5, 7)","(9, 7)","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (0, -1), (0, -1), (0, -1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0)]","[223840, 606, 473, 334, 319, 248, 220, 218, 1988, 2522, 245, 211, 967, 750, 1530, 414, 442]","[(0, -1), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)]","[(7, 0), (7, 1), (7, 2), (7, 3), (7, 4), (7, 5), (7, 6), (7, 7), (7, 8), (6, 8), (6, 7), (6, 6), (6, 5), (6, 6), (6, 7), (7, 7), (8, 7), (9, 7)]","[(7, 14), (7, 13), (6, 13), (5, 13), (5, 12), (5, 11), (5, 10), (5, 9), (5, 8), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7)]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 2, 2]","[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,p08,"(7, 14)","(7, 0)","(3, 7)","(11, 7)","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1)]","[4250, 260, 275, 499, 409, 265, 224, 222, 1286, 258, 203, 235, 1522, 249, 223, 234, 245, 243, 70, 203, 1318]","[(-1, 0), (0, 1), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)]","[(7, 14), (7, 13), (7, 12), (7, 11), (7, 10), (7, 9), (7, 8), (7, 7), (7, 6), (6, 6), (5, 6), (4, 6), (3, 6), (4, 6), (5, 6), (6, 6), (7, 6), (8, 6), (9, 6), (10, 6), (11, 6), (11, 7)]","[(7, 0), (6, 0), (6, 1), (5, 1), (4, 1), (4, 2), (4, 3), (4, 4), (3, 4), (3, 5), (3, 6), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7)]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 0]","[1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2,p08,"(14, 7)","(0, 7)","(7, 3)","(7, 11)","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (-1, 0), (-1, 0), (0, 1)]","[2103, 254, 225, 222, 216, 207, 214, 232, 213, 215, 1527, 558, 454, 1953, 364, 317, 855, 76, 3944, 471, 1169]","[(0, -1), (0, -1), (1, 0), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)]","[(14, 7), (13, 7), (12, 7), (11, 7), (10, 7), (9, 7), (8, 7), (7, 7), (6, 7), (5, 7), (4, 7), (5, 7), (6, 7), (7, 7), (7, 8), (7, 9), (7, 10), (8, 10), (9, 10), (8, 10), (7, 10), (7, 11)]","[(0, 7), (0, 6), (0, 5), (1, 5), (1, 4), (1, 3), (2, 3), (3, 3), (4, 3), (5, 3), (6, 3), (7, 3), (7, 3), (7, 3), (7, 3), (7, 3), (7, 3), (7, 3), (7, 3), (7, 3), (7, 3), (7, 3)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 2]","[1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3,p08,"(2, 7)","(14, 7)","(8, 5)","(8, 9)","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (-1, 0), (-1, 0), (0, -1), (0, 1), (0, -1), (0, -1)]","[2396, 259, 218, 204, 214, 253, 246, 237, 1552, 1094, 1314, 552, 0, 1012]","[(0, 1), (-1, 0), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)]","[(2, 7), (3, 7), (4, 7), (5, 7), (6, 7), (7, 7), (8, 7), (9, 7), (10, 7), (9, 7), (8, 7), (8, 6), (8, 7), (8, 6), (8, 5)]","[(14, 7), (14, 8), (13, 8), (13, 9), (12, 9), (11, 9), (10, 9), (9, 9), (8, 9), (8, 9), (8, 9), (8, 9), (8, 9), (8, 9), (8, 9)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 1, 1]","[2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4,p08,"(2, 7)","(12, 7)","(7, 4)","(7, 10)","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1)]","[2591, 286, 255, 216, 213, 1503, 368, 315]","[(0, -1), (0, -1), (-1, 0), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]","[(2, 7), (3, 7), (4, 7), (5, 7), (6, 7), (7, 7), (7, 6), (7, 5), (7, 4)]","[(12, 7), (12, 6), (12, 5), (11, 5), (11, 4), (10, 4), (9, 4), (8, 4), (7, 4)]","[0, 0, 0, 0, 0, 1, 1, 1]","[1, 1, 0, 1, 0, 0, 0, 0]"
5,p08,"(7, 1)","(7, 13)","(3, 7)","(11, 7)","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1)]","[3466, 273, 249, 209, 566, 1609, 261, 200, 477, 223, 2859, 641, 249, 232, 227, 242, 1353, 199, 213, 760, 395, 1246]","[(1, 0), (0, -1), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)]","[(7, 1), (6, 1), (5, 1), (4, 1), (3, 1), (2, 1), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (3, 6), (4, 6), (5, 6), (6, 6), (7, 6), (8, 6), (7, 6), (6, 6), (5, 6), (4, 6), (3, 6), (3, 7)]","[(7, 13), (8, 13), (8, 12), (9, 12), (9, 11), (9, 10), (9, 9), (9, 8), (9, 7), (10, 7), (11, 7), (11, 7), (11, 7), (11, 7), (11, 7), (11, 7), (11, 7), (11, 7), (11, 7), (11, 7), (11, 7), (11, 7), (11, 7)]","[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 0]","[2, 0, 2, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6,p08,"(4, 7)","(14, 7)","(9, 5)","(9, 9)","[(0, 1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]","[2009, 287, 276, 666, 1459, 293, 227, 253, 244]","[(0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 0), (0, 0)]","[(4, 7), (4, 8), (4, 7), (4, 6), (4, 5), (5, 5), (6, 5), (7, 5), (8, 5), (9, 5)]","[(14, 7), (14, 8), (14, 9), (13, 9), (12, 9), (11, 9), (10, 9), (9, 9), (9, 9), (9, 9)]","[2, 1, 1, 1, 0, 0, 0, 0, 0]","[2, 2, 0, 0, 0, 0, 0, 0, 0]"
7,p08,"(14, 7)","(0, 7)","(7, 4)","(7, 10)","[(0, -1), (0, -1), (0, -1), (0, -1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]","[3290, 279, 213, 215, 1989, 1649, 238, 198, 213, 520, 263, 627]","[(1, 0), (0, -1), (0, -1), (1, 0), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 0), (0, 0)]","[(14, 7), (14, 6), (14, 5), (14, 4), (14, 3), (14, 4), (13, 4), (12, 4), (11, 4), (10, 4), (9, 4), (8, 4), (7, 4)]","[(0, 7), (1, 7), (1, 6), (1, 5), (2, 5), (2, 4), (3, 4), (4, 4), (5, 4), (6, 4), (7, 4), (7, 4), (7, 4)]","[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
