,name,initPlayer1Grid,target1Grid,target2Grid,noiseNumber,reactionTime,trajectory,aimAction,noisePoint,goal
0,p05,"(10, 7)","(4, 5)","(4, 9)",0,"[1521, 179, 199, 222, 209, 209, 219, 271]","[(10, 7), (9, 7), (8, 7), (7, 7), (6, 7), (5, 7), (4, 7), (4, 6), (4, 5)]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1)]",[],"[0, 0, 0, 0, 0, 0, 1, 1]"
1,p05,"(7, 5)","(3, 0)","(11, 0)",0,"[313, 264, 27, 239, 228, 29, 219, 288, 224]","[(7, 5), (6, 5), (6, 4), (5, 4), (4, 4), (4, 3), (3, 3), (3, 2), (3, 1), (3, 0)]","[(-1, 0), (0, -1), (-1, 0), (-1, 0), (0, -1), (-1, 0), (0, -1), (0, -1), (0, -1)]",[],"[1, 0, 1, 1, 0, 1, 0, 0, 0]"
2,p05,"(12, 7)","(6, 4)","(6, 10)",0,"[403, 210, 86, 279, 220, 210, 215, 239, 88]","[(12, 7), (11, 7), (11, 6), (10, 6), (9, 6), (8, 6), (7, 6), (7, 5), (7, 4), (6, 4)]","[(-1, 0), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (-1, 0)]",[],"[0, 1, 0, 0, 0, 0, 1, 1, 0]"
3,p05,"(3, 7)","(10, 4)","(10, 10)",0,"[626, 264, 227, 210, 311, 374, 129, 356, 95, 302]","[(3, 7), (4, 7), (5, 7), (6, 7), (7, 7), (8, 7), (8, 6), (9, 6), (9, 5), (10, 5), (10, 4)]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (1, 0), (0, -1), (1, 0), (0, -1)]",[],"[0, 0, 0, 0, 0, 1, 0, 1, 0, 1]"
4,p05,"(7, 4)","(4, 9)","(10, 9)",0,"[726, 192, 289, 243, 228, 239, 415, 239]","[(7, 4), (8, 4), (8, 5), (8, 6), (8, 7), (8, 8), (9, 8), (10, 8), (10, 9)]","[(1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (0, 1)]",[],"[2, 0, 0, 0, 0, 2, 2, 0]"
5,p05,"(12, 7)","(5, 5)","(5, 9)",0,"[601, 265, 202, 213, 232, 265, 45, 237, 27]","[(12, 7), (11, 7), (10, 7), (9, 7), (8, 7), (7, 7), (6, 7), (6, 6), (5, 6), (5, 5)]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (-1, 0), (0, -1)]",[],"[0, 0, 0, 0, 0, 0, 1, 0, 1]"
6,p05,"(8, 7)","(2, 3)","(2, 11)",0,"[394, 207, 284, 235, 208, 204, 210, 225, 266, 268, 220, 369]","[(8, 7), (9, 7), (8, 7), (7, 7), (6, 7), (5, 7), (4, 7), (3, 7), (3, 6), (3, 5), (3, 4), (2, 4), (2, 3)]","[(1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (-1, 0), (0, -1)]",[],"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1]"
7,p05,"(7, 3)","(3, 10)","(11, 10)",0,"[483, 273, 227, 272, 267, 8, 280, 11, 312, 339, 23]","[(7, 3), (7, 4), (7, 5), (7, 6), (7, 7), (6, 7), (6, 8), (5, 8), (5, 9), (4, 9), (4, 10), (3, 10)]","[(0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (0, 1), (-1, 0), (0, 1), (-1, 0), (0, 1), (-1, 0)]",[],"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1]"
