,name,initPlayer1Grid,initPlayer2Grid,target1Grid,target2Grid,aimActionPlayer1,reactionTime,aimActionPlayer2,trajectoryPlayer1,trajectoryPlayer2,goalPlayer1,goalPlayer2
0,p02,"(7, 14)","(7, 0)","(3, 7)","(11, 7)","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0)]","[204886, 150, 260, 235, 292, 246, 295, 565, 209, 194, 216]","[(-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (0, 1), (-1, 0), (0, 1), (0, 1)]","[(7, 14), (7, 13), (7, 12), (7, 11), (7, 10), (7, 9), (7, 8), (7, 7), (8, 7), (9, 7), (10, 7), (11, 7)]","[(7, 0), (6, 0), (5, 0), (5, 1), (5, 2), (5, 3), (5, 4), (4, 4), (4, 5), (3, 5), (3, 6), (3, 7)]","[0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2]","[1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0]"
1,p02,"(7, 14)","(7, 0)","(4, 7)","(10, 7)","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0)]","[1113, 244, 226, 209, 225, 208, 229, 674, 190, 205]","[(-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]","[(7, 14), (7, 13), (7, 12), (7, 11), (7, 10), (7, 9), (7, 8), (7, 7), (8, 7), (9, 7), (10, 7)]","[(7, 0), (6, 0), (5, 0), (4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (4, 6), (4, 7)]","[0, 0, 0, 0, 0, 0, 0, 2, 2, 2]","[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
2,p02,"(7, 0)","(7, 14)","(5, 7)","(9, 7)","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0)]","[2287, 249, 212, 216, 248, 225, 247, 1026, 233]","[(-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]","[(7, 0), (7, 1), (7, 2), (7, 3), (7, 4), (7, 5), (7, 6), (7, 7), (6, 7), (5, 7)]","[(7, 14), (6, 14), (5, 14), (5, 13), (5, 12), (5, 11), (5, 10), (5, 9), (5, 8), (5, 7)]","[0, 0, 0, 0, 0, 0, 0, 1, 1]","[1, 1, 0, 0, 0, 0, 0, 0, 0]"
3,p02,"(7, 0)","(7, 12)","(3, 6)","(11, 6)","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]","[3129, 205, 196, 367, 1087, 181, 184, 196, 187, 200]","[(0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]","[(7, 0), (6, 0), (5, 0), (4, 0), (3, 0), (3, 1), (3, 2), (3, 3), (3, 4), (3, 5), (3, 6)]","[(7, 12), (7, 11), (8, 11), (9, 11), (10, 11), (11, 11), (11, 10), (11, 9), (11, 8), (11, 7), (11, 6)]","[1, 1, 1, 1, 0, 0, 0, 0, 0, 0]","[0, 2, 2, 2, 2, 0, 0, 0, 0, 0]"
4,p02,"(7, 11)","(7, 1)","(5, 6)","(9, 6)","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0)]","[1488, 215, 231, 296, 345, 449, 312]","[(1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]","[(7, 11), (7, 10), (7, 9), (7, 8), (7, 7), (7, 6), (8, 6), (9, 6)]","[(7, 1), (8, 1), (9, 1), (9, 2), (9, 3), (9, 4), (9, 5), (9, 6)]","[0, 0, 0, 0, 0, 2, 2]","[2, 2, 0, 0, 0, 0, 0]"
5,p02,"(7, 14)","(7, 2)","(4, 8)","(10, 8)","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0)]","[1634, 236, 212, 218, 255, 209, 1023, 204, 226]","[(0, 1), (1, 0), (0, 1), (0, 1), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1)]","[(7, 14), (7, 13), (7, 12), (7, 11), (7, 10), (7, 9), (7, 8), (8, 8), (9, 8), (10, 8)]","[(7, 2), (7, 3), (8, 3), (8, 4), (8, 5), (9, 5), (10, 5), (10, 6), (10, 7), (10, 8)]","[0, 0, 0, 0, 0, 0, 2, 2, 2]","[0, 2, 0, 0, 2, 2, 0, 0, 0]"
6,p02,"(7, 13)","(7, 3)","(5, 8)","(9, 8)","[(-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]","[1657, 227, 1563, 199, 431, 237, 216]","[(1, 0), (0, 1), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1)]","[(7, 13), (6, 13), (5, 13), (5, 12), (5, 11), (5, 10), (5, 9), (5, 8)]","[(7, 3), (8, 3), (8, 4), (9, 4), (9, 5), (9, 6), (9, 7), (9, 8)]","[1, 1, 0, 0, 0, 0, 0]","[2, 0, 2, 0, 0, 0, 0]"
7,p02,"(2, 7)","(12, 7)","(7, 3)","(7, 11)","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1)]","[2442, 255, 410, 235, 668, 547, 239, 188, 212]","[(0, 1), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (-1, 0), (0, 1), (-1, 0)]","[(2, 7), (3, 7), (4, 7), (5, 7), (6, 7), (7, 7), (7, 8), (7, 9), (7, 10), (7, 11)]","[(12, 7), (12, 8), (11, 8), (10, 8), (9, 8), (9, 9), (9, 10), (8, 10), (8, 11), (7, 11)]","[0, 0, 0, 0, 0, 2, 2, 2, 2]","[2, 0, 0, 0, 2, 2, 0, 2, 0]"
