,name,initPlayer1Grid,target1Grid,target2Grid,noiseNumber,reactionTime,trajectory,aimAction,noisePoint,goal
0,p17,"(7, 12)","(5, 6)","(9, 6)",0,"[553951, 219, 191, 223, 222, 219, 998, 268]","[(7, 12), (7, 11), (7, 10), (7, 9), (7, 8), (7, 7), (7, 6), (8, 6), (9, 6)]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0)]",[],"[0, 0, 0, 0, 0, 0, 2, 2]"
1,p17,"(7, 7)","(3, 14)","(11, 14)",0,"[2162, 300, 623, 274, 224, 325, 274, 249, 255, 234, 238, 53, 198, 846, 295, 266, 246]","[(7, 7), (7, 6), (7, 5), (7, 6), (7, 7), (7, 8), (7, 9), (7, 10), (7, 11), (7, 12), (7, 13), (7, 14), (7, 13), (7, 14), (6, 14), (5, 14), (4, 14), (3, 14)]","[(0, -1), (0, -1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, -1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]"
2,p17,"(7, 7)","(2, 5)","(2, 9)",0,"[2138, 269, 275, 255, 275, 1318, 285]","[(7, 7), (6, 7), (5, 7), (4, 7), (3, 7), (2, 7), (2, 8), (2, 9)]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1)]",[],"[0, 0, 0, 0, 0, 2, 2]"
3,p17,"(4, 7)","(10, 4)","(10, 10)",0,"[2126, 291, 253, 220, 233, 259, 216, 1571, 950, 293, 425]","[(4, 7), (5, 7), (6, 7), (7, 7), (8, 7), (9, 7), (10, 7), (11, 7), (10, 7), (10, 8), (10, 9), (10, 10)]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (-1, 0), (0, 1), (0, 1), (0, 1)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2]"
4,p17,"(8, 7)","(13, 4)","(13, 10)",0,"[1627, 367, 231, 236, 603, 1257, 538, 596]","[(8, 7), (9, 7), (10, 7), (11, 7), (12, 7), (13, 7), (13, 6), (13, 5), (13, 4)]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1)]",[],"[0, 0, 0, 0, 0, 1, 1, 1]"
5,p17,"(12, 7)","(5, 4)","(5, 10)",0,"[2575, 283, 500, 186, 264, 302, 266, 1172, 266, 561]","[(12, 7), (11, 7), (10, 7), (9, 7), (8, 7), (7, 7), (6, 7), (5, 7), (5, 6), (5, 5), (5, 4)]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1)]",[],"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1]"
6,p17,"(8, 7)","(1, 3)","(1, 11)",0,"[1705, 302, 289, 315, 324, 349, 280, 324, 1669, 1496, 306, 445, 322]","[(8, 7), (7, 7), (6, 7), (5, 7), (4, 7), (3, 7), (2, 7), (1, 7), (0, 7), (1, 7), (1, 8), (1, 9), (1, 10), (1, 11)]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2]"
7,p17,"(6, 7)","(0, 3)","(0, 11)",0,"[1501, 270, 285, 254, 252, 255, 1414, 342, 359, 398]","[(6, 7), (5, 7), (4, 7), (3, 7), (2, 7), (1, 7), (0, 7), (0, 6), (0, 5), (0, 4), (0, 3)]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1)]",[],"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1]"
