,name,initPlayer1Grid,target1Grid,target2Grid,noiseNumber,reactionTime,trajectory,aimAction,noisePoint,goal
0,p03,"(7, 4)","(5, 10)","(9, 10)",0,"[3032, 169, 235, 1170, 905, 212, 249, 199, 230, 231]","[(7, 4), (8, 4), (9, 4), (10, 4), (9, 4), (9, 5), (9, 6), (9, 7), (9, 8), (9, 9), (9, 10)]","[(1, 0), (1, 0), (1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]",[],"[2, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
1,p03,"(12, 7)","(7, 3)","(7, 11)",0,"[1518, 262, 230, 228, 226, 812, 244, 254, 227]","[(12, 7), (11, 7), (10, 7), (9, 7), (8, 7), (7, 7), (7, 6), (7, 5), (7, 4), (7, 3)]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1)]",[],"[0, 0, 0, 0, 0, 1, 1, 1, 1]"
2,p03,"(5, 7)","(11, 3)","(11, 11)",0,"[1153, 449, 193, 246, 419, 221, 169, 662, 321, 257, 688, 1526]","[(5, 7), (6, 7), (7, 7), (8, 7), (9, 7), (10, 7), (11, 7), (12, 7), (12, 6), (12, 5), (12, 4), (11, 4), (11, 3)]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (-1, 0), (0, -1)]",[],"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1]"
3,p03,"(7, 1)","(3, 8)","(11, 8)",0,"[2327, 177, 217, 710, 224, 209, 228, 244, 165, 167, 267, 1392, 329]","[(7, 1), (6, 1), (5, 1), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (4, 6), (4, 7), (4, 8), (4, 9), (4, 8), (3, 8)]","[(-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, -1), (-1, 0)]",[],"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
4,p03,"(7, 0)","(4, 6)","(10, 6)",0,"[1633, 238, 209, 1123, 194, 215, 402, 253, 220, 211, 575]","[(7, 0), (8, 0), (9, 0), (10, 0), (10, 1), (10, 2), (10, 3), (10, 4), (10, 5), (10, 4), (10, 5), (10, 6)]","[(1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, -1), (0, 1), (0, 1)]",[],"[2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
5,p03,"(7, 13)","(4, 8)","(10, 8)",0,"[1835, 240, 234, 675, 233, 247, 203, 194]","[(7, 13), (8, 13), (9, 13), (10, 13), (10, 12), (10, 11), (10, 10), (10, 9), (10, 8)]","[(1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]",[],"[2, 2, 2, 0, 0, 0, 0, 0]"
6,p03,"(7, 11)","(5, 6)","(9, 6)",0,"[2319, 580, 900, 298, 763, 260, 240]","[(7, 11), (8, 11), (9, 11), (9, 10), (9, 9), (9, 8), (9, 7), (9, 6)]","[(1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]",[],"[2, 2, 0, 0, 0, 0, 0]"
7,p03,"(7, 3)","(5, 10)","(9, 10)",0,"[1960, 249, 956, 542, 234, 216, 234, 232, 256]","[(7, 3), (8, 3), (9, 3), (9, 4), (9, 5), (9, 6), (9, 7), (9, 8), (9, 9), (9, 10)]","[(1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]",[],"[2, 2, 0, 0, 0, 0, 0, 0, 0]"
