,name,initPlayer1Grid,target1Grid,target2Grid,noiseNumber,reactionTime,trajectory,aimAction,noisePoint,goal
0,p14,"(7, 0)","(3, 5)","(11, 5)",0,"[560321, 256, 1000, 314, 328, 969, 266, 318, 258]","[(7, 0), (7, 1), (7, 2), (7, 3), (7, 4), (7, 5), (6, 5), (5, 5), (4, 5), (3, 5)]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]",[],"[0, 0, 0, 0, 0, 1, 1, 1, 1]"
1,p14,"(7, 12)","(3, 5)","(11, 5)",0,"[1393, 277, 333, 484, 905, 393, 313, 288, 294, 383, 540]","[(7, 12), (6, 12), (5, 12), (4, 12), (3, 12), (3, 11), (3, 10), (3, 9), (3, 8), (3, 7), (3, 6), (3, 5)]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]",[],"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
2,p14,"(7, 7)","(4, 1)","(10, 1)",0,"[1100, 280, 310, 270, 300, 505, 625, 441, 445]","[(7, 7), (7, 6), (7, 5), (7, 4), (7, 3), (7, 2), (7, 1), (8, 1), (9, 1), (10, 1)]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0)]",[],"[0, 0, 0, 0, 0, 0, 2, 2, 2]"
3,p14,"(7, 0)","(5, 6)","(9, 6)",0,"[1204, 305, 394, 324, 367, 339, 1094, 390]","[(7, 0), (7, 1), (7, 2), (7, 3), (7, 4), (7, 5), (7, 6), (8, 6), (9, 6)]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0)]",[],"[0, 0, 0, 0, 0, 0, 2, 2]"
4,p14,"(9, 7)","(2, 4)","(2, 10)",0,"[1479, 348, 268, 237, 415, 311, 293, 1537, 383, 418]","[(9, 7), (8, 7), (7, 7), (6, 7), (5, 7), (4, 7), (3, 7), (2, 7), (2, 8), (2, 9), (2, 10)]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1)]",[],"[0, 0, 0, 0, 0, 0, 0, 2, 2, 2]"
5,p14,"(6, 7)","(1, 4)","(1, 10)",0,"[1403, 813, 2109, 301, 335, 349, 298, 809, 430, 528]","[(6, 7), (6, 8), (6, 7), (5, 7), (4, 7), (3, 7), (2, 7), (1, 7), (1, 6), (1, 5), (1, 4)]","[(0, 1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1)]",[],"[2, 1, 0, 0, 0, 0, 0, 1, 1, 1]"
6,p14,"(7, 1)","(3, 7)","(11, 7)",0,"[1211, 275, 261, 253, 369, 498, 465, 407, 310, 349]","[(7, 1), (7, 2), (7, 3), (7, 4), (7, 5), (7, 6), (7, 7), (8, 7), (9, 7), (10, 7), (11, 7)]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0)]",[],"[0, 0, 0, 0, 0, 0, 2, 2, 2, 2]"
7,p14,"(7, 6)","(5, 0)","(9, 0)",0,"[1265, 301, 301, 620, 283, 428, 708, 316]","[(7, 6), (7, 5), (7, 4), (7, 3), (7, 2), (7, 1), (7, 0), (8, 0), (9, 0)]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0)]",[],"[0, 0, 0, 0, 0, 0, 2, 2]"
