,name,initPlayer1Grid,target1Grid,target2Grid,noiseType,reactionTime,trajectory,aimAction,noisePoint,goal
0,p15,"(7, 9)","(3, 4)","(11, 4)",pushForward,"[2857, 373, 350, 406, 573, 1460, 332, 378]","[(7, 9), (7, 8), (7, 7), (7, 6), (7, 5), (7, 4), (9, 4), (10, 4), (11, 4)]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0)]",6,"[0, 0, 0, 0, 0, 2, 2, 2]"
1,p15,"(8, 7)","(3, 3)","(3, 11)",pullBack,"[7047, 428, 298, 363, 569, 1146, 352, 345, 303, 326, 331]","[(8, 7), (7, 7), (6, 7), (5, 7), (4, 7), (3, 7), (3, 6), (3, 7), (3, 8), (3, 9), (3, 10), (3, 11)]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]",6,"[0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2]"
2,p15,"(7, 9)","(3, 14)","(11, 14)",pullBack,"[2554, 462, 328, 391, 450, 232, 1864, 397, 412, 418, 537]","[(7, 9), (6, 9), (7, 9), (8, 9), (9, 9), (10, 9), (11, 9), (11, 10), (11, 11), (11, 12), (11, 13), (11, 14)]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]",1,"[2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0]"
3,p15,"(13, 7)","(8, 3)","(8, 11)",pullBack,"[2840, 322, 606, 350, 1745, 1739, 366, 240, 490, 328, 382]","[(13, 7), (12, 7), (11, 7), (10, 7), (9, 7), (8, 7), (8, 6), (8, 7), (8, 8), (8, 9), (8, 10), (8, 11)]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]",6,"[0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2]"
4,p15,"(5, 7)","(10, 3)","(10, 11)",pushForward,"[4688, 293, 342, 334, 335, 359, 1496, 798, 335, 437]","[(5, 7), (6, 7), (7, 7), (8, 7), (9, 7), (10, 7), (11, 7), (10, 7), (10, 9), (10, 10), (10, 11)]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (-1, 0), (0, 1), (0, 1), (0, 1)]",8,"[0, 0, 0, 0, 0, 0, 0, 2, 2, 2]"
5,p15,"(7, 14)","(3, 9)","(11, 9)",pushForward,"[2760, 345, 326, 355, 516, 1070, 353, 422]","[(7, 14), (7, 13), (7, 12), (7, 11), (7, 10), (7, 9), (9, 9), (10, 9), (11, 9)]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0)]",6,"[0, 0, 0, 0, 0, 2, 2, 2]"
6,p15,"(7, 8)","(3, 3)","(11, 3)",pullBack,"[2962, 330, 326, 402, 400, 1315, 537, 394, 322, 307, 323]","[(7, 8), (7, 7), (7, 6), (7, 5), (7, 4), (7, 3), (6, 3), (7, 3), (8, 3), (9, 3), (10, 3), (11, 3)]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]",6,"[0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2]"
7,p15,"(7, 11)","(3, 6)","(11, 6)",pushForward,"[2271, 297, 379, 400, 338, 883, 319, 373]","[(7, 11), (7, 10), (7, 9), (7, 8), (7, 7), (7, 6), (5, 6), (4, 6), (3, 6)]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0)]",6,"[0, 0, 0, 0, 0, 1, 1, 1]"
