,name,initPlayer1Grid,target1Grid,target2Grid,noiseNumber,reactionTime,trajectory,aimAction,noisePoint,goal
0,p15,"(7, 10)","(3, 4)","(11, 4)",0,"[582028, 382, 252, 280, 390, 611, 1019, 242, 262, 275]","[(7, 10), (7, 9), (7, 8), (7, 7), (7, 6), (7, 5), (7, 4), (6, 4), (5, 4), (4, 4), (3, 4)]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]",[],"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1]"
1,p15,"(13, 7)","(8, 4)","(8, 10)",0,"[3521, 334, 942, 422, 2591, 530, 467, 407, 480, 1501, 405, 356]","[(13, 7), (13, 6), (13, 5), (13, 6), (13, 7), (12, 7), (11, 7), (10, 7), (9, 7), (8, 7), (8, 6), (8, 5), (8, 4)]","[(0, -1), (0, -1), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1)]",[],"[1, 1, 2, 2, 0, 0, 0, 0, 0, 1, 1, 1]"
2,p15,"(7, 8)","(4, 14)","(10, 14)",0,"[7683, 318, 315, 346, 352, 316, 1097, 301, 371]","[(7, 8), (7, 9), (7, 10), (7, 11), (7, 12), (7, 13), (7, 14), (8, 14), (9, 14), (10, 14)]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0)]",[],"[0, 0, 0, 0, 0, 0, 2, 2, 2]"
3,p15,"(7, 6)","(4, 13)","(10, 13)",0,"[6851, 699, 540, 326, 323, 331, 1065, 534, 597, 1133]","[(7, 6), (7, 7), (7, 8), (7, 9), (7, 10), (7, 11), (7, 12), (6, 12), (5, 12), (4, 12), (4, 13)]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (0, 1)]",[],"[0, 0, 0, 0, 0, 0, 1, 1, 1, 0]"
4,p15,"(7, 3)","(3, 8)","(11, 8)",0,"[9356, 1480, 425, 665, 1980, 512, 241, 345, 327]","[(7, 3), (6, 3), (5, 3), (4, 3), (3, 3), (3, 4), (3, 5), (3, 6), (3, 7), (3, 8)]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]",[],"[1, 1, 1, 1, 0, 0, 0, 0, 0]"
5,p15,"(7, 2)","(5, 9)","(9, 9)",0,"[3137, 409, 294, 217, 466, 350, 544, 1215, 537]","[(7, 2), (7, 3), (7, 4), (7, 5), (7, 6), (7, 7), (7, 8), (7, 9), (8, 9), (9, 9)]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0)]",[],"[0, 0, 0, 0, 0, 0, 0, 2, 2]"
6,p15,"(11, 7)","(6, 5)","(6, 9)",0,"[2344, 342, 298, 341, 359, 1428, 306]","[(11, 7), (10, 7), (9, 7), (8, 7), (7, 7), (6, 7), (6, 6), (6, 5)]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1)]",[],"[0, 0, 0, 0, 0, 1, 1]"
7,p15,"(0, 7)","(5, 5)","(5, 9)",0,"[2226, 239, 294, 334, 469, 4125, 561]","[(0, 7), (1, 7), (2, 7), (3, 7), (4, 7), (5, 7), (5, 8), (5, 9)]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1)]",[],"[0, 0, 0, 0, 0, 2, 2]"
