,name,initPlayer1Grid,initPlayer2Grid,target1Grid,target2Grid,aimActionPlayer1,reactionTime,aimActionPlayer2,trajectoryPlayer1,trajectoryPlayer2,goalPlayer1,goalPlayer2
0,p15,"(1, 7)","(11, 7)","(6, 5)","(6, 9)","[(-1, 0), (-1, 0), (-1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1)]","[681366, 513, 530, 1135, 567, 470, 368, 1069, 452, 1435, 477]","[(-1, 0), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 0), (0, 0), (0, 0), (0, 0)]","[(1, 7), (0, 7), (0, 7), (0, 7), (1, 7), (2, 7), (3, 7), (4, 7), (5, 7), (6, 7), (6, 6), (6, 5)]","[(11, 7), (10, 7), (10, 8), (10, 9), (9, 9), (8, 9), (7, 9), (6, 9), (6, 9), (6, 9), (6, 9), (6, 9)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
1,p15,"(7, 0)","(7, 14)","(3, 7)","(11, 7)","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]","[1701, 384, 343, 363, 391, 323, 315, 377, 373, 401, 447, 1748, 382, 382, 4563, 303, 273, 366, 467, 349, 360]","[(-1, 0), (-1, 0), (0, -1), (-1, 0), (0, -1), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)]","[(7, 0), (8, 0), (9, 0), (10, 0), (11, 0), (12, 0), (13, 0), (14, 0), (14, 0), (14, 0), (14, 0), (14, 0), (13, 0), (12, 0), (11, 0), (11, 1), (11, 2), (11, 3), (11, 4), (11, 5), (11, 6), (11, 7)]","[(7, 14), (6, 14), (5, 14), (5, 13), (4, 13), (4, 12), (3, 12), (3, 11), (3, 10), (3, 9), (3, 8), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7)]","[2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2,p15,"(7, 14)","(7, 2)","(4, 8)","(10, 8)","[(0, -1), (0, -1), (0, 1), (0, -1), (0, 1), (0, -1), (0, 1), (0, -1), (0, 1), (0, 1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0)]","[6699, 948, 408, 325, 214, 179, 237, 185, 269, 970, 1189, 522, 361, 267, 1815, 430, 1576, 375, 366]","[(-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)]","[(7, 14), (7, 13), (7, 12), (7, 13), (7, 12), (7, 13), (7, 12), (7, 13), (7, 12), (7, 13), (7, 14), (7, 13), (7, 12), (7, 11), (7, 10), (7, 9), (7, 8), (6, 8), (5, 8), (4, 8)]","[(7, 2), (6, 2), (5, 2), (4, 2), (4, 3), (4, 4), (4, 5), (4, 6), (4, 7), (4, 8), (4, 8), (4, 8), (4, 8), (4, 8), (4, 8), (4, 8), (4, 8), (4, 8), (4, 8), (4, 8)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1]","[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3,p15,"(1, 7)","(13, 7)","(7, 3)","(7, 11)","[(0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]","[6888, 451, 410, 438, 1219, 255, 354, 349, 293, 292]","[(-1, 0), (0, -1), (-1, 0), (-1, 0), (0, -1), (-1, 0), (0, -1), (0, -1), (-1, 0), (-1, 0)]","[(1, 7), (1, 8), (1, 9), (1, 10), (1, 11), (2, 11), (3, 11), (4, 11), (5, 11), (6, 11), (7, 11)]","[(13, 7), (12, 7), (12, 6), (11, 6), (10, 6), (10, 5), (9, 5), (9, 4), (9, 3), (8, 3), (7, 3)]","[2, 2, 2, 2, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
4,p15,"(7, 2)","(7, 14)","(5, 8)","(9, 8)","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0)]","[2789, 350, 379, 374, 315, 1675, 370, 329, 368, 407, 4171, 1107, 340, 570]","[(-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)]","[(7, 2), (8, 2), (9, 2), (10, 2), (11, 2), (12, 2), (12, 3), (12, 4), (12, 5), (12, 6), (12, 7), (12, 8), (11, 8), (10, 8), (9, 8)]","[(7, 14), (6, 14), (5, 14), (5, 13), (5, 12), (5, 11), (5, 10), (5, 9), (5, 8), (5, 8), (5, 8), (5, 8), (5, 8), (5, 8), (5, 8)]","[2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5,p15,"(1, 7)","(11, 7)","(6, 4)","(6, 10)","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1)]","[6465, 345, 355, 343, 349, 323, 425, 2266, 277, 1821, 342, 213]","[(0, -1), (-1, 0), (-1, 0), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (0, 0), (0, 0), (0, 0), (0, 0)]","[(1, 7), (2, 7), (3, 7), (4, 7), (5, 7), (6, 7), (7, 7), (8, 7), (7, 7), (6, 7), (6, 8), (6, 9), (6, 10)]","[(11, 7), (11, 6), (10, 6), (9, 6), (9, 5), (9, 4), (8, 4), (7, 4), (6, 4), (6, 4), (6, 4), (6, 4), (6, 4)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2]","[1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
6,p15,"(0, 7)","(14, 7)","(7, 5)","(7, 9)","[(-1, 0), (1, 0), (-1, 0), (1, 0), (-1, 0), (1, 0), (-1, 0), (1, 0), (-1, 0), (1, 0), (-1, 0), (1, 0), (-1, 0), (1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1)]","[3845, 294, 123, 262, 163, 212, 83, 266, 144, 244, 103, 270, 62, 429, 14, 493, 1549, 468, 1203, 364, 339, 315, 372, 326, 459, 1030, 492]","[(-1, 0), (-1, 0), (0, 1), (-1, 0), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)]","[(0, 7), (0, 7), (1, 7), (0, 7), (1, 7), (0, 7), (1, 7), (0, 7), (1, 7), (0, 7), (1, 7), (0, 7), (1, 7), (0, 7), (1, 7), (0, 7), (0, 7), (0, 7), (0, 7), (1, 7), (2, 7), (3, 7), (4, 7), (5, 7), (6, 7), (7, 7), (7, 6), (7, 5)]","[(14, 7), (13, 7), (12, 7), (12, 8), (11, 8), (11, 9), (10, 9), (9, 9), (8, 9), (7, 9), (7, 9), (7, 9), (7, 9), (7, 9), (7, 9), (7, 9), (7, 9), (7, 9), (7, 9), (7, 9), (7, 9), (7, 9), (7, 9), (7, 9), (7, 9), (7, 9), (7, 9), (7, 9)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7,p15,"(7, 14)","(7, 0)","(5, 7)","(9, 7)","[(1, 0), (1, 0), (1, 0), (1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]","[11124, 509, 377, 386, 1157, 389, 485, 374, 426, 670, 1587, 332, 284, 390, 308, 527, 461]","[(1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)]","[(7, 14), (8, 14), (9, 14), (10, 14), (11, 14), (10, 14), (9, 14), (8, 14), (7, 14), (6, 14), (5, 14), (5, 13), (5, 12), (5, 11), (5, 10), (5, 9), (5, 8), (5, 7)]","[(7, 0), (8, 0), (9, 0), (9, 1), (9, 2), (9, 3), (9, 4), (9, 5), (9, 6), (9, 7), (9, 7), (9, 7), (9, 7), (9, 7), (9, 7), (9, 7), (9, 7), (9, 7)]","[2, 2, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]","[2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
