,pair,namePlayer1,namePlayer2,trajectoryPlayer1,aimActionPlayer1,player1reactionTime,realActionPlayer1,goalPlayer1,noisePointPlayer1,trajectoryPlayer2,aimActionPlayer2,player2reactionTime,realActionPlayer2,goalPlayer2,noisePointPlayer2,actorIndexList,trialType,player1Grid,player2Grid,bean1Grid,bean2Grid
0,1,subjName1-age,subjName2-age,"[(7, 0), [7, 1], [7, 2], [7, 3], [7, 4], [7, 3], [7, 2], [7, 3], [7, 4], [8, 4], [9, 4], [10, 4], [10, 5], [11, 5], [11, 6]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, -1), (0, -1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (0, 1), (1, 0), (0, 1)]","[3579, 3765, 3899, 4048, 4374, 4570, 4809, 4992, 5325, 5515, 5714, 5844, 6143, 6506]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (0, -1), (-1, 0)]","[0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 2, 0]",[],"[(7, 12), [7, 11], [7, 10], [7, 9], [7, 8], [7, 7], [6, 7], [5, 7], [4, 7], [4, 6], [3, 6]]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (0, -1), (-1, 0)]","[4139, 4344, 4517, 4840, 5070, 5292, 5529, 5699, 5947, 6128]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (0, -1), (-1, 0)]","[0, 0, 0, 0, 0, 1, 1, 1, 0, 1]",[],"[0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0]",Random Disruptions,"(7, 0)","(7, 12)","(3, 6)","(11, 6)"
1,1,subjName1-age,subjName2-age,"[(7, 2), [7, 1], [7, 0], [7, 1], [7, 2], [7, 3], [7, 4], [7, 5], [7, 6], [8, 6], [7, 6], [6, 6], [5, 6], [5, 7]]","[(0, -1), (0, -1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1)]","[719, 906, 1173, 1388, 1523, 1667, 1999, 2388, 2583, 2974, 3156, 3333, 3467]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0)]","[0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 1, 0]",[],"[(7, 12), [7, 11], [7, 10], [7, 9], [7, 8], [7, 7], [6, 7], [5, 7]]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0)]","[738, 940, 1298, 1444, 2033, 2599, 2856]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0)]","[0, 0, 0, 0, 0, 1, 1]",[],"[0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0]",Random Disruptions,"(7, 2)","(7, 12)","(5, 7)","(9, 7)"
